MONATSZAHL,AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Besucher*innen,Bayerisches Staatsorchester,6855.0,5181.0,20.58,32.31,3057.0,2020-01-01
Besucher*innen,Bayerisches Staatsorchester,4440.0,7032.0,-35.23,-36.86,2822.0,2020-02-01
Besucher*innen,Bayerisches Staatsorchester,0.0,0.0,,,,2020-03-01
Besucher*innen,Bayerisches Staatsorchester,0.0,4242.0,,,,2020-04-01
Besucher*innen,Bayerisches Staatsorchester,0.0,419.0,,,,2020-05-01
Besucher*innen,Bayerisches Staatsorchester,5181.0,335.0,304.45,1446.57,4365.0,2019-01-01
Besucher*innen,Bayerisches Staatsorchester,7032.0,880.0,35.73,699.09,4924.0,2019-02-01
Besucher*innen,Bayerisches Staatsorchester,0.0,4744.0,-100.0,-100.0,,2019-03-01
Besucher*innen,Bayerisches Staatsorchester,4242.0,4285.0,,-1.0,4489.0,2019-04-01
Besucher*innen,Bayerisches Staatsorchester,419.0,4534.0,-90.12,-90.76,4115.0,2019-05-01
Besucher*innen,Bayerisches Staatsorchester,133.0,815.0,-68.26,-83.68,4053.0,2019-06-01
Besucher*innen,Bayerisches Staatsorchester,2860.0,11551.0,2050.38,-75.24,3263.0,2019-07-01
Besucher*innen,Bayerisches Staatsorchester,,,,,,2019-08-01
Besucher*innen,Bayerisches Staatsorchester,2097.0,7550.0,,-72.23,2767.0,2019-09-01
Besucher*innen,Bayerisches Staatsorchester,2498.0,6328.0,19.12,-60.52,2419.0,2019-10-01
Besucher*innen,Bayerisches Staatsorchester,1809.0,863.0,-27.58,109.62,2505.0,2019-11-01
Besucher*innen,Bayerisches Staatsorchester,5685.0,1281.0,214.26,343.79,2905.0,2019-12-01
Besucher*innen,Bayerisches Staatsorchester,335.0,1095.0,-94.84,-69.41,4080.0,2018-01-01
Besucher*innen,Bayerisches Staatsorchester,880.0,4841.0,162.69,-81.82,3684.0,2018-02-01
