AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Münchner Kammerspiele,16415.0,13078.0,-8.81,25.52,13508.0,2020-01-01
Münchner Kammerspiele,15734.0,13416.0,-4.15,17.28,13740.0,2020-02-01
Münchner Kammerspiele,5779.0,11701.0,-63.27,-50.61,13147.0,2020-03-01
Münchner Kammerspiele,0.0,12694.0,,,,2020-04-01
Münchner Kammerspiele,0.0,13509.0,,,,2020-05-01
Münchner Kammerspiele,13078.0,13356.0,-7.07,-2.08,13217.0,2019-01-01
Münchner Kammerspiele,13416.0,13110.0,2.58,2.33,13248.0,2019-02-01
Münchner Kammerspiele,11701.0,12277.0,-12.78,-4.69,13190.0,2019-03-01
Münchner Kammerspiele,12694.0,11350.0,8.49,11.84,13325.0,2019-04-01
Münchner Kammerspiele,13509.0,12746.0,6.42,5.99,13401.0,2019-05-01
Münchner Kammerspiele,9869.0,10943.0,-26.94,-9.81,13294.0,2019-06-01
Münchner Kammerspiele,9169.0,11957.0,-7.09,-23.32,13015.0,2019-07-01
Münchner Kammerspiele,,,,,,2019-08-01
Münchner Kammerspiele,,,,,,2019-09-01
Münchner Kammerspiele,16241.0,10564.0,,53.74,13583.0,2019-10-01
Münchner Kammerspiele,14062.0,22076.0,-13.42,-36.3,12781.0,2019-11-01
Münchner Kammerspiele,18001.0,14073.0,28.01,27.91,13174.0,2019-12-01
Münchner Kammerspiele,13356.0,13867.0,1.01,-3.69,12531.0,2018-01-01
Münchner Kammerspiele,13110.0,15586.0,-1.84,-15.89,12306.0,2018-02-01
Münchner Kammerspiele,12277.0,14939.0,-6.35,-17.82,12064.0,2018-03-01
Münchner Kammerspiele,11350.0,13111.0,-7.55,-13.43,11904.0,2018-04-01
Münchner Kammerspiele,12746.0,13536.0,12.3,-5.84,11832.0,2018-05-01
Münchner Kammerspiele,10943.0,8792.0,-14.15,24.47,12028.0,2018-06-01
Münchner Kammerspiele,11957.0,17198.0,9.27,-30.47,11551.0,2018-07-01
Münchner Kammerspiele,,,,,,2018-08-01
Münchner Kammerspiele,,2527.0,,,,2018-09-01
Münchner Kammerspiele,10564.0,12692.0,,-16.77,12241.0,2018-10-01
Münchner Kammerspiele,22076.0,12885.0,108.97,71.33,13160.0,2018-11-01
Münchner Kammerspiele,14073.0,13223.0,-36.25,6.43,13245.0,2018-12-01
