WERT,DATE
327834,2019-01-01
279789,2019-02-01
316633,2019-03-01
308885,2019-04-01
289810,2019-05-01
211758,2019-06-01
350797,2019-07-01
352531,2019-08-01
228942,2019-09-01
356365,2019-10-01
375638,2019-11-01
369693,2019-12-01
352912,2018-01-01
341482,2018-02-01
339001,2018-03-01
207462,2018-04-01
251870,2018-05-01
193524,2018-06-01
268408,2018-07-01
292193,2018-08-01
222969,2018-09-01
287921,2018-10-01
358768,2018-11-01
341837,2018-12-01
407127,2017-01-01
363178,2017-02-01
356745,2017-03-01
323468,2017-04-01
219668,2017-05-01
305667,2017-06-01
296543,2017-07-01
311540,2017-08-01
259603,2017-09-01
360859,2017-10-01
341238,2017-11-01
383739,2017-12-01
484497,2016-01-01
388096,2016-02-01
370064,2016-03-01
255974,2016-04-01
262491,2016-05-01
224564,2016-06-01
311294,2016-07-01
319583,2016-08-01
222697,2016-09-01
389979,2016-10-01
410374,2016-11-01
383532,2016-12-01
443257,2015-01-01
403048,2015-02-01
381935,2015-03-01
316783,2015-04-01
312737,2015-05-01
321587,2015-06-01
312768,2015-07-01
305589,2015-08-01
314285,2015-09-01
402443,2015-10-01
487763,2015-11-01
445382,2015-12-01
467745,2014-01-01
350384,2014-02-01
393133,2014-03-01
329415,2014-04-01
299775,2014-05-01
198531,2014-06-01
309390,2014-07-01
458715,2014-08-01
300425,2014-09-01
347536,2014-10-01
400232,2014-11-01
435450,2014-12-01
474371,2013-01-01
400680,2013-02-01
380941,2013-03-01
252930,2013-04-01
412618,2013-05-01
308784,2013-06-01
299422,2013-07-01
346058,2013-08-01
275948,2013-09-01
344067,2013-10-01
480673,2013-11-01
441800,2013-12-01
507594,2012-01-01
424237,2012-02-01
361706,2012-03-01
400408,2012-04-01
307867,2012-05-01
225704,2012-06-01
402051,2012-07-01
373759,2012-08-01
302707,2012-09-01
351548,2012-10-01
506696,2012-11-01
436837,2012-12-01
448441,2011-01-01
398006,2011-02-01
405966,2011-03-01
274640,2011-04-01
264538,2011-05-01
439310,2011-06-01
435362,2011-07-01
354625,2011-08-01
274319,2011-09-01
326551,2011-10-01
407966,2011-11-01
419207,2011-12-01
544767,2010-01-01
492697,2010-02-01
445079,2010-03-01
291629,2010-04-01
368706,2010-05-01
265631,2010-06-01
341206,2010-07-01
460904,2010-08-01
293921,2010-09-01
358099,2010-10-01
398277,2010-11-01
325891,2010-12-01
456325,2009-01-01
445101,2009-02-01
470748,2009-03-01
279764,2009-04-01
318119,2009-05-01
364194,2009-06-01
468979,2009-07-01
401611,2009-08-01
351620,2009-09-01
398935,2009-10-01
426214,2009-11-01
456580,2009-12-01
473790,2008-01-01
456380,2008-02-01
534629,2008-03-01
282372,2008-04-01
298802,2008-05-01
259099,2008-06-01
369126,2008-07-01
380298,2008-08-01
308448,2008-09-01
411515,2008-10-01
483433,2008-11-01
404041,2008-12-01
490732,2007-01-01
407860,2007-02-01
354387,2007-03-01
287064,2007-04-01
383068,2007-05-01
362045,2007-06-01
427766,2007-07-01
396968,2007-08-01
313853,2007-09-01
399876,2007-10-01
362856,2007-11-01
371383,2007-12-01
477863,2006-01-01
434291,2006-02-01
459153,2006-03-01
498462,2006-04-01
383759,2006-05-01
189431,2006-06-01
328072,2006-07-01
519228,2006-08-01
319546,2006-09-01
501649,2006-10-01
503559,2006-11-01
436421,2006-12-01
496249,2005-01-01
436739,2005-02-01
486330,2005-03-01
311622,2005-04-01
375257,2005-05-01
300111,2005-06-01
417653,2005-07-01
433000,2005-08-01
255120,2005-09-01
380076,2005-10-01
443425,2005-11-01
383560,2005-12-01
531027,2004-01-01
485202,2004-02-01
420218,2004-03-01
407452,2004-04-01
449848,2004-05-01
424815,2004-06-01
505479,2004-07-01
492733,2004-08-01
407956,2004-09-01
488698,2004-10-01
458374,2004-11-01
440713,2004-12-01
488539,2003-01-01
441716,2003-02-01
460087,2003-03-01
391792,2003-04-01
380822,2003-05-01
286372,2003-06-01
338283,2003-07-01
367691,2003-08-01
364003,2003-09-01
457442,2003-10-01
538375,2003-11-01
560399,2003-12-01
560263,2002-01-01
451517,2002-02-01
470107,2002-03-01
416408,2002-04-01
399918,2002-05-01
309710,2002-06-01
462654,2002-07-01
387539,2002-08-01
367674,2002-09-01
455152,2002-10-01
456634,2002-11-01
516100,2002-12-01
501424,2001-01-01
487303,2001-02-01
528917,2001-03-01
484568,2001-04-01
239742,2001-05-01
378327,2001-06-01
399228,2001-07-01
527934,2001-08-01
524193,2001-09-01
440781,2001-10-01
466526,2001-11-01
519699,2001-12-01
554594,2000-01-01
497041,2000-02-01
405974,2000-03-01
413818,2000-04-01
304364,2000-05-01
291474,2000-06-01
429441,2000-07-01
342364,2000-08-01
334245,2000-09-01
451179,2000-10-01
396161,2000-11-01
457936,2000-12-01
