AUSPRAEGUNG,WERT,DATE
Außenanlagen Olympiapark (Veranstaltungen),7727.0,2020-01-01
Außenanlagen Olympiapark (Veranstaltungen),16770.0,2020-02-01
Außenanlagen Olympiapark (Veranstaltungen),1290.0,2020-03-01
Außenanlagen Olympiapark (Veranstaltungen),0.0,2020-04-01
Außenanlagen Olympiapark (Veranstaltungen),0.0,2020-05-01
Außenanlagen Olympiapark (Veranstaltungen),3360.0,2019-01-01
Außenanlagen Olympiapark (Veranstaltungen),12290.0,2019-02-01
Außenanlagen Olympiapark (Veranstaltungen),17580.0,2019-03-01
Außenanlagen Olympiapark (Veranstaltungen),52400.0,2019-04-01
Außenanlagen Olympiapark (Veranstaltungen),101080.0,2019-05-01
Außenanlagen Olympiapark (Veranstaltungen),108950.0,2019-06-01
Außenanlagen Olympiapark (Veranstaltungen),42750.0,2019-07-01
Außenanlagen Olympiapark (Veranstaltungen),468300.0,2019-08-01
Außenanlagen Olympiapark (Veranstaltungen),77540.0,2019-09-01
Außenanlagen Olympiapark (Veranstaltungen),19550.0,2019-10-01
Außenanlagen Olympiapark (Veranstaltungen),3510.0,2019-11-01
Außenanlagen Olympiapark (Veranstaltungen),20830.0,2019-12-01
Außenanlagen Olympiapark (Veranstaltungen),8490.0,2018-01-01
Außenanlagen Olympiapark (Veranstaltungen),5250.0,2018-02-01
Außenanlagen Olympiapark (Veranstaltungen),10380.0,2018-03-01
Außenanlagen Olympiapark (Veranstaltungen),91960.0,2018-04-01
Außenanlagen Olympiapark (Veranstaltungen),109250.0,2018-05-01
Außenanlagen Olympiapark (Veranstaltungen),124850.0,2018-06-01
Außenanlagen Olympiapark (Veranstaltungen),71420.0,2018-07-01
Außenanlagen Olympiapark (Veranstaltungen),544130.0,2018-08-01
Außenanlagen Olympiapark (Veranstaltungen),88930.0,2018-09-01
Außenanlagen Olympiapark (Veranstaltungen),23030.0,2018-10-01
Außenanlagen Olympiapark (Veranstaltungen),13960.0,2018-11-01
Außenanlagen Olympiapark (Veranstaltungen),10880.0,2018-12-01
Außenanlagen Olympiapark (Veranstaltungen),4050.0,2017-01-01
Außenanlagen Olympiapark (Veranstaltungen),11350.0,2017-02-01
Außenanlagen Olympiapark (Veranstaltungen),23070.0,2017-03-01
Außenanlagen Olympiapark (Veranstaltungen),70320.0,2017-04-01
Außenanlagen Olympiapark (Veranstaltungen),106990.0,2017-05-01
Außenanlagen Olympiapark (Veranstaltungen),110130.0,2017-06-01
Außenanlagen Olympiapark (Veranstaltungen),47660.0,2017-07-01
Außenanlagen Olympiapark (Veranstaltungen),394250.0,2017-08-01
Außenanlagen Olympiapark (Veranstaltungen),17100.0,2017-09-01
Außenanlagen Olympiapark (Veranstaltungen),79440.0,2017-10-01
Außenanlagen Olympiapark (Veranstaltungen),11870.0,2017-11-01
Außenanlagen Olympiapark (Veranstaltungen),10400.0,2017-12-01
Außenanlagen Olympiapark (Veranstaltungen),32210.0,2016-01-01
Außenanlagen Olympiapark (Veranstaltungen),15238.0,2016-02-01
Außenanlagen Olympiapark (Veranstaltungen),48600.0,2016-03-01
Außenanlagen Olympiapark (Veranstaltungen),62030.0,2016-04-01
Außenanlagen Olympiapark (Veranstaltungen),93140.0,2016-05-01
Außenanlagen Olympiapark (Veranstaltungen),35520.0,2016-06-01
Außenanlagen Olympiapark (Veranstaltungen),112350.0,2016-07-01
Außenanlagen Olympiapark (Veranstaltungen),348660.0,2016-08-01
Außenanlagen Olympiapark (Veranstaltungen),53670.0,2016-09-01
Außenanlagen Olympiapark (Veranstaltungen),77900.0,2016-10-01
Außenanlagen Olympiapark (Veranstaltungen),7600.0,2016-11-01
Außenanlagen Olympiapark (Veranstaltungen),28970.0,2016-12-01
Außenanlagen Olympiapark (Veranstaltungen),5479.0,2015-01-01
Außenanlagen Olympiapark (Veranstaltungen),10213.0,2015-02-01
Außenanlagen Olympiapark (Veranstaltungen),17030.0,2015-03-01
Außenanlagen Olympiapark (Veranstaltungen),59360.0,2015-04-01
Außenanlagen Olympiapark (Veranstaltungen),33420.0,2015-05-01
Außenanlagen Olympiapark (Veranstaltungen),93130.0,2015-06-01
Außenanlagen Olympiapark (Veranstaltungen),84680.0,2015-07-01
Außenanlagen Olympiapark (Veranstaltungen),623910.0,2015-08-01
Außenanlagen Olympiapark (Veranstaltungen),38330.0,2015-09-01
Außenanlagen Olympiapark (Veranstaltungen),58610.0,2015-10-01
Außenanlagen Olympiapark (Veranstaltungen),7990.0,2015-11-01
Außenanlagen Olympiapark (Veranstaltungen),16280.0,2015-12-01
Außenanlagen Olympiapark (Veranstaltungen),8210.0,2014-01-01
Außenanlagen Olympiapark (Veranstaltungen),26640.0,2014-02-01
Außenanlagen Olympiapark (Veranstaltungen),31190.0,2014-03-01
Außenanlagen Olympiapark (Veranstaltungen),57120.0,2014-04-01
Außenanlagen Olympiapark (Veranstaltungen),35490.0,2014-05-01
Außenanlagen Olympiapark (Veranstaltungen),26930.0,2014-06-01
Außenanlagen Olympiapark (Veranstaltungen),118600.0,2014-07-01
Außenanlagen Olympiapark (Veranstaltungen),503930.0,2014-08-01
Außenanlagen Olympiapark (Veranstaltungen),36720.0,2014-09-01
Außenanlagen Olympiapark (Veranstaltungen),22370.0,2014-10-01
Außenanlagen Olympiapark (Veranstaltungen),12300.0,2014-11-01
Außenanlagen Olympiapark (Veranstaltungen),11960.0,2014-12-01
Außenanlagen Olympiapark (Veranstaltungen),19510.0,2013-01-01
