AUSPRAEGUNG,WERT,VORJAHRESWERT,VERAEND_VORMONAT_PROZENT,VERAEND_VORJAHRESMONAT_PROZENT,ZWOELF_MONATE_MITTELWERT,DATE
Alte Pinakothek,16098.0,54261.0,4.91,-70.33,17853.0,2016-01-01
Alte Pinakothek,12462.0,28355.0,-22.59,-56.05,16529.0,2016-02-01
Alte Pinakothek,17194.0,12086.0,37.97,42.26,16955.0,2016-03-01
Alte Pinakothek,15918.0,12749.0,-7.42,24.86,17219.0,2016-04-01
Alte Pinakothek,15412.0,17578.0,-3.18,-12.32,17038.0,2016-05-01
Alte Pinakothek,16399.0,15103.0,6.4,8.58,17146.0,2016-06-01
Alte Pinakothek,19360.0,19795.0,18.06,-2.2,17110.0,2016-07-01
Alte Pinakothek,18425.0,23021.0,-4.83,-19.96,16727.0,2016-08-01
Alte Pinakothek,11871.0,18027.0,-35.57,-34.15,16214.0,2016-09-01
Alte Pinakothek,17498.0,22501.0,47.4,-22.23,15797.0,2016-10-01
Alte Pinakothek,13856.0,13584.0,-20.81,2.0,15820.0,2016-11-01
Alte Pinakothek,15503.0,15344.0,11.89,1.04,15833.0,2016-12-01
Alte Pinakothek,54261.0,17653.0,74.44,207.38,23279.0,2015-01-01
Alte Pinakothek,28355.0,14464.0,-47.74,96.04,24437.0,2015-02-01
Alte Pinakothek,12086.0,16275.0,-57.38,-25.74,24088.0,2015-03-01
Alte Pinakothek,12749.0,17310.0,5.49,-26.35,23707.0,2015-04-01
Alte Pinakothek,17578.0,17519.0,37.88,0.34,23712.0,2015-05-01
Alte Pinakothek,15103.0,15161.0,-14.08,-0.38,23708.0,2015-06-01
Alte Pinakothek,19795.0,20606.0,31.07,-3.94,23640.0,2015-07-01
Alte Pinakothek,23021.0,25328.0,16.3,-9.11,23448.0,2015-08-01
Alte Pinakothek,18027.0,14164.0,-21.69,27.27,23770.0,2015-09-01
Alte Pinakothek,22501.0,21913.0,24.82,2.68,23819.0,2015-10-01
Alte Pinakothek,13584.0,31242.0,-39.63,-56.52,22347.0,2015-11-01
Alte Pinakothek,15344.0,31105.0,12.96,-50.67,21034.0,2015-12-01
Alte Pinakothek,17653.0,18807.0,4.39,-6.14,23028.0,2014-01-01
Alte Pinakothek,14464.0,14828.0,-18.06,-2.45,22997.0,2014-02-01
Alte Pinakothek,16275.0,30519.0,12.52,-46.67,21810.0,2014-03-01
Alte Pinakothek,17310.0,35897.0,6.36,-51.78,20261.0,2014-04-01
Alte Pinakothek,17519.0,39783.0,1.21,-55.96,18406.0,2014-05-01
Alte Pinakothek,15161.0,25414.0,-13.46,-40.34,17552.0,2014-06-01
Alte Pinakothek,20606.0,18658.0,35.91,10.44,17714.0,2014-07-01
Alte Pinakothek,25328.0,24708.0,22.92,2.51,17766.0,2014-08-01
Alte Pinakothek,14164.0,15103.0,-44.08,-6.22,17687.0,2014-09-01
Alte Pinakothek,21913.0,20091.0,54.71,9.07,17839.0,2014-10-01
Alte Pinakothek,31242.0,16765.0,42.57,86.35,19046.0,2014-11-01
Alte Pinakothek,31105.0,16911.0,-0.44,83.93,20228.0,2014-12-01
Alte Pinakothek,18807.0,33530.0,-22.59,-43.91,21318.0,2013-01-01
Alte Pinakothek,14828.0,17078.0,-21.16,-13.17,21130.0,2013-02-01
Alte Pinakothek,30519.0,18169.0,105.82,67.97,22159.0,2013-03-01
Alte Pinakothek,35897.0,22691.0,17.62,58.2,23260.0,2013-04-01
Alte Pinakothek,39783.0,18402.0,10.83,116.19,25042.0,2013-05-01
Alte Pinakothek,25414.0,18261.0,-36.12,39.17,25638.0,2013-06-01
Alte Pinakothek,18658.0,26056.0,-26.58,-28.39,25021.0,2013-07-01
Alte Pinakothek,24708.0,27780.0,32.43,-11.06,24765.0,2013-08-01
Alte Pinakothek,15103.0,18993.0,-38.87,-20.48,24441.0,2013-09-01
Alte Pinakothek,20091.0,25527.0,33.03,-21.3,23988.0,2013-10-01
Alte Pinakothek,16765.0,19751.0,-16.55,-15.12,23739.0,2013-11-01
Alte Pinakothek,16911.0,24296.0,0.87,-30.4,23124.0,2013-12-01
Alte Pinakothek,33530.0,25303.0,-1.16,32.51,30618.0,2012-01-01
Alte Pinakothek,17078.0,21301.0,-49.07,-19.83,30266.0,2012-02-01
Alte Pinakothek,18169.0,26453.0,6.39,-31.32,29575.0,2012-03-01
Alte Pinakothek,22691.0,33908.0,24.89,-33.08,28641.0,2012-04-01
Alte Pinakothek,18402.0,30920.0,-18.9,-40.49,27597.0,2012-05-01
Alte Pinakothek,18261.0,35029.0,-0.77,-47.87,26200.0,2012-06-01
Alte Pinakothek,26056.0,34452.0,42.69,-24.37,25500.0,2012-07-01
Alte Pinakothek,27780.0,31191.0,6.62,-10.94,25216.0,2012-08-01
Alte Pinakothek,18993.0,20199.0,-31.63,-5.97,25116.0,2012-09-01
Alte Pinakothek,25527.0,32583.0,34.4,-21.66,24528.0,2012-10-01
Alte Pinakothek,19751.0,33922.0,-22.63,-41.78,23347.0,2012-11-01
Alte Pinakothek,24296.0,33922.0,23.01,-28.38,22545.0,2012-12-01
Alte Pinakothek,25303.0,18622.0,-2.44,35.88,23434.0,2011-01-01
Alte Pinakothek,21301.0,17965.0,-15.82,18.57,23712.0,2011-02-01
Alte Pinakothek,26453.0,21638.0,24.19,22.25,24113.0,2011-03-01
Alte Pinakothek,33908.0,18502.0,28.18,83.27,25397.0,2011-04-01
Alte Pinakothek,30920.0,22128.0,-8.81,39.73,26130.0,2011-05-01
Alte Pinakothek,35029.0,21512.0,13.29,62.83,27256.0,2011-06-01
Alte Pinakothek,34452.0,27910.0,-1.65,23.44,27801.0,2011-07-01
Alte Pinakothek,31191.0,34235.0,-9.47,-8.89,27547.0,2011-08-01
Alte Pinakothek,20199.0,19798.0,-35.24,2.03,27581.0,2011-09-01
Alte Pinakothek,32583.0,28243.0,61.31,15.37,27943.0,2011-10-01
Alte Pinakothek,33922.0,18035.0,4.11,88.09,29266.0,2011-11-01
Alte Pinakothek,33922.0,25936.0,0.0,30.79,29932.0,2011-12-01
Alte Pinakothek,18622.0,16117.0,-33.92,15.54,19554.0,2010-01-01
Alte Pinakothek,17965.0,17460.0,-3.53,2.89,19596.0,2010-02-01
Alte Pinakothek,21638.0,21808.0,20.45,-0.78,19582.0,2010-03-01
Alte Pinakothek,18502.0,16086.0,-14.49,15.02,19783.0,2010-04-01
Alte Pinakothek,22128.0,16646.0,19.6,32.93,20240.0,2010-05-01
Alte Pinakothek,21512.0,15491.0,-2.78,38.87,20742.0,2010-06-01
Alte Pinakothek,27910.0,18059.0,29.74,54.55,21563.0,2010-07-01
Alte Pinakothek,34235.0,18793.0,22.66,82.17,22850.0,2010-08-01
