AUSPRAEGUNG,WERT,DATE
Bayerisches Staatsorchester,6855.0,2020-01-01
Bayerisches Staatsorchester,4440.0,2020-02-01
Bayerisches Staatsorchester,0.0,2020-03-01
Bayerisches Staatsorchester,0.0,2020-04-01
Bayerisches Staatsorchester,0.0,2020-05-01
Bayerisches Staatsorchester,5181.0,2019-01-01
Bayerisches Staatsorchester,7032.0,2019-02-01
Bayerisches Staatsorchester,0.0,2019-03-01
Bayerisches Staatsorchester,4242.0,2019-04-01
Bayerisches Staatsorchester,419.0,2019-05-01
Bayerisches Staatsorchester,133.0,2019-06-01
Bayerisches Staatsorchester,2860.0,2019-07-01
Bayerisches Staatsorchester,,2019-08-01
Bayerisches Staatsorchester,2097.0,2019-09-01
Bayerisches Staatsorchester,2498.0,2019-10-01
Bayerisches Staatsorchester,1809.0,2019-11-01
Bayerisches Staatsorchester,5685.0,2019-12-01
Bayerisches Staatsorchester,335.0,2018-01-01
Bayerisches Staatsorchester,880.0,2018-02-01
Bayerisches Staatsorchester,4744.0,2018-03-01
Bayerisches Staatsorchester,4285.0,2018-04-01
Bayerisches Staatsorchester,4534.0,2018-05-01
Bayerisches Staatsorchester,815.0,2018-06-01
Bayerisches Staatsorchester,11551.0,2018-07-01
Bayerisches Staatsorchester,,2018-08-01
Bayerisches Staatsorchester,7550.0,2018-09-01
Bayerisches Staatsorchester,6328.0,2018-10-01
Bayerisches Staatsorchester,863.0,2018-11-01
Bayerisches Staatsorchester,1281.0,2018-12-01
Bayerisches Staatsorchester,1095.0,2017-01-01
Bayerisches Staatsorchester,4841.0,2017-02-01
Bayerisches Staatsorchester,4394.0,2017-03-01
Bayerisches Staatsorchester,400.0,2017-04-01
Bayerisches Staatsorchester,477.0,2017-05-01
Bayerisches Staatsorchester,4494.0,2017-06-01
Bayerisches Staatsorchester,7570.0,2017-07-01
Bayerisches Staatsorchester,,2017-08-01
Bayerisches Staatsorchester,,2017-09-01
Bayerisches Staatsorchester,6463.0,2017-10-01
Bayerisches Staatsorchester,5332.0,2017-11-01
Bayerisches Staatsorchester,6490.0,2017-12-01
Bayerisches Staatsorchester,5093.0,2016-01-01
Bayerisches Staatsorchester,6703.0,2016-02-01
Bayerisches Staatsorchester,4194.0,2016-03-01
Bayerisches Staatsorchester,529.0,2016-04-01
Bayerisches Staatsorchester,226.0,2016-05-01
Bayerisches Staatsorchester,4194.0,2016-06-01
Bayerisches Staatsorchester,10719.0,2016-07-01
Bayerisches Staatsorchester,,2016-08-01
Bayerisches Staatsorchester,4170.0,2016-09-01
Bayerisches Staatsorchester,4526.0,2016-10-01
Bayerisches Staatsorchester,1826.0,2016-11-01
Bayerisches Staatsorchester,3912.0,2016-12-01
Bayerisches Staatsorchester,4514.0,2015-01-01
Bayerisches Staatsorchester,4641.0,2015-02-01
Bayerisches Staatsorchester,227.0,2015-03-01
Bayerisches Staatsorchester,6358.0,2015-04-01
Bayerisches Staatsorchester,102.0,2015-05-01
Bayerisches Staatsorchester,4249.0,2015-06-01
Bayerisches Staatsorchester,7994.0,2015-07-01
Bayerisches Staatsorchester,,2015-08-01
Bayerisches Staatsorchester,,2015-09-01
Bayerisches Staatsorchester,4944.0,2015-10-01
Bayerisches Staatsorchester,4363.0,2015-11-01
Bayerisches Staatsorchester,67.0,2015-12-01
Bayerisches Staatsorchester,6790.0,2014-01-01
Bayerisches Staatsorchester,4625.0,2014-02-01
Bayerisches Staatsorchester,310.0,2014-03-01
Bayerisches Staatsorchester,4395.0,2014-04-01
Bayerisches Staatsorchester,792.0,2014-05-01
Bayerisches Staatsorchester,7578.0,2014-06-01
Bayerisches Staatsorchester,5947.0,2014-07-01
Bayerisches Staatsorchester,,2014-08-01
Bayerisches Staatsorchester,4194.0,2014-09-01
Bayerisches Staatsorchester,315.0,2014-10-01
Bayerisches Staatsorchester,5804.0,2014-11-01
Bayerisches Staatsorchester,1442.0,2014-12-01
Bayerisches Staatsorchester,,2013-01-01
Bayerisches Staatsorchester,4795.0,2013-02-01
Bayerisches Staatsorchester,514.0,2013-03-01
Bayerisches Staatsorchester,4689.0,2013-04-01
Bayerisches Staatsorchester,6015.0,2013-05-01
Bayerisches Staatsorchester,4383.0,2013-06-01
Bayerisches Staatsorchester,4588.0,2013-07-01
Bayerisches Staatsorchester,,2013-08-01
Bayerisches Staatsorchester,3415.0,2013-09-01
Bayerisches Staatsorchester,4473.0,2013-10-01
Bayerisches Staatsorchester,1613.0,2013-11-01
Bayerisches Staatsorchester,656.0,2013-12-01
Bayerisches Staatsorchester,4635.0,2012-01-01
Bayerisches Staatsorchester,342.0,2012-02-01
Bayerisches Staatsorchester,4096.0,2012-03-01
Bayerisches Staatsorchester,969.0,2012-04-01
Bayerisches Staatsorchester,4359.0,2012-05-01
Bayerisches Staatsorchester,6160.0,2012-06-01
Bayerisches Staatsorchester,6247.0,2012-07-01
Bayerisches Staatsorchester,,2012-08-01
Bayerisches Staatsorchester,3950.0,2012-09-01
Bayerisches Staatsorchester,1964.0,2012-10-01
Bayerisches Staatsorchester,4975.0,2012-11-01
Bayerisches Staatsorchester,3988.0,2012-12-01
Bayerisches Staatsorchester,467.0,2011-01-01
Bayerisches Staatsorchester,4560.0,2011-02-01
Bayerisches Staatsorchester,,2011-03-01
Bayerisches Staatsorchester,4714.0,2011-04-01
Bayerisches Staatsorchester,4031.0,2011-05-01
Bayerisches Staatsorchester,,2011-06-01
Bayerisches Staatsorchester,9725.0,2011-07-01
Bayerisches Staatsorchester,,2011-08-01
Bayerisches Staatsorchester,,2011-09-01
Bayerisches Staatsorchester,4994.0,2011-10-01
Bayerisches Staatsorchester,2593.0,2011-11-01
Bayerisches Staatsorchester,8856.0,2011-12-01
Bayerisches Staatsorchester,6735.0,2010-01-01
Bayerisches Staatsorchester,612.0,2010-02-01
Bayerisches Staatsorchester,3624.0,2010-03-01
Bayerisches Staatsorchester,5655.0,2010-04-01
Bayerisches Staatsorchester,5152.0,2010-05-01
Bayerisches Staatsorchester,475.0,2010-06-01
Bayerisches Staatsorchester,4011.0,2010-07-01
Bayerisches Staatsorchester,,2010-08-01
Bayerisches Staatsorchester,,2010-09-01
