AUSPRAEGUNG,WERT,DATE
Münchner Kammerspiele,16415.0,2020-01-01
Münchner Kammerspiele,15734.0,2020-02-01
Münchner Kammerspiele,5779.0,2020-03-01
Münchner Kammerspiele,0.0,2020-04-01
Münchner Kammerspiele,0.0,2020-05-01
Münchner Kammerspiele,13078.0,2019-01-01
Münchner Kammerspiele,13416.0,2019-02-01
Münchner Kammerspiele,11701.0,2019-03-01
Münchner Kammerspiele,12694.0,2019-04-01
Münchner Kammerspiele,13509.0,2019-05-01
Münchner Kammerspiele,9869.0,2019-06-01
Münchner Kammerspiele,9169.0,2019-07-01
Münchner Kammerspiele,,2019-08-01
Münchner Kammerspiele,,2019-09-01
Münchner Kammerspiele,16241.0,2019-10-01
Münchner Kammerspiele,14062.0,2019-11-01
Münchner Kammerspiele,18001.0,2019-12-01
Münchner Kammerspiele,13356.0,2018-01-01
Münchner Kammerspiele,13110.0,2018-02-01
Münchner Kammerspiele,12277.0,2018-03-01
Münchner Kammerspiele,11350.0,2018-04-01
Münchner Kammerspiele,12746.0,2018-05-01
Münchner Kammerspiele,10943.0,2018-06-01
Münchner Kammerspiele,11957.0,2018-07-01
Münchner Kammerspiele,,2018-08-01
Münchner Kammerspiele,,2018-09-01
Münchner Kammerspiele,10564.0,2018-10-01
Münchner Kammerspiele,22076.0,2018-11-01
Münchner Kammerspiele,14073.0,2018-12-01
Münchner Kammerspiele,13867.0,2017-01-01
Münchner Kammerspiele,15586.0,2017-02-01
Münchner Kammerspiele,14939.0,2017-03-01
Münchner Kammerspiele,13111.0,2017-04-01
Münchner Kammerspiele,13536.0,2017-05-01
Münchner Kammerspiele,8792.0,2017-06-01
Münchner Kammerspiele,17198.0,2017-07-01
Münchner Kammerspiele,,2017-08-01
Münchner Kammerspiele,2527.0,2017-09-01
Münchner Kammerspiele,12692.0,2017-10-01
Münchner Kammerspiele,12885.0,2017-11-01
Münchner Kammerspiele,13223.0,2017-12-01
Münchner Kammerspiele,18787.0,2016-01-01
Münchner Kammerspiele,16833.0,2016-02-01
Münchner Kammerspiele,14311.0,2016-03-01
Münchner Kammerspiele,14413.0,2016-04-01
Münchner Kammerspiele,14911.0,2016-05-01
Münchner Kammerspiele,12605.0,2016-06-01
Münchner Kammerspiele,15639.0,2016-07-01
Münchner Kammerspiele,,2016-08-01
Münchner Kammerspiele,1605.0,2016-09-01
Münchner Kammerspiele,13606.0,2016-10-01
Münchner Kammerspiele,14352.0,2016-11-01
Münchner Kammerspiele,16358.0,2016-12-01
Münchner Kammerspiele,14913.0,2015-01-01
Münchner Kammerspiele,17327.0,2015-02-01
Münchner Kammerspiele,17822.0,2015-03-01
Münchner Kammerspiele,16179.0,2015-04-01
Münchner Kammerspiele,15775.0,2015-05-01
Münchner Kammerspiele,14386.0,2015-06-01
Münchner Kammerspiele,13793.0,2015-07-01
Münchner Kammerspiele,,2015-08-01
Münchner Kammerspiele,1293.0,2015-09-01
Münchner Kammerspiele,15922.0,2015-10-01
Münchner Kammerspiele,14681.0,2015-11-01
Münchner Kammerspiele,16987.0,2015-12-01
Münchner Kammerspiele,18447.0,2014-01-01
Münchner Kammerspiele,16945.0,2014-02-01
Münchner Kammerspiele,16910.0,2014-03-01
Münchner Kammerspiele,14654.0,2014-04-01
Münchner Kammerspiele,12445.0,2014-05-01
