AUSPRAEGUNG,WERT,DATE
Ausland,243174,2020-01-01
Ausland,223106,2020-02-01
Ausland,237104,2019-01-01
Ausland,240175,2019-02-01
Ausland,263418,2019-03-01
Ausland,317205,2019-04-01
Ausland,339976,2019-05-01
Ausland,341366,2019-06-01
Ausland,424524,2019-07-01
Ausland,394033,2019-08-01
Ausland,395742,2019-09-01
Ausland,360918,2019-10-01
Ausland,277155,2019-11-01
Ausland,338782,2019-12-01
Ausland,234150,2018-01-01
Ausland,216399,2018-02-01
Ausland,263523,2018-03-01
Ausland,289300,2018-04-01
Ausland,300258,2018-05-01
Ausland,332647,2018-06-01
Ausland,401163,2018-07-01
Ausland,385677,2018-08-01
Ausland,388056,2018-09-01
Ausland,346195,2018-10-01
Ausland,275375,2018-11-01
Ausland,318213,2018-12-01
Ausland,197853,2017-01-01
Ausland,217699,2017-02-01
Ausland,224460,2017-03-01
Ausland,267442,2017-04-01
Ausland,289700,2017-05-01
Ausland,285402,2017-06-01
Ausland,368990,2017-07-01
Ausland,361783,2017-08-01
Ausland,400846,2017-09-01
Ausland,303212,2017-10-01
Ausland,245017,2017-11-01
Ausland,308192,2017-12-01
Ausland,194757,2016-01-01
Ausland,188895,2016-02-01
Ausland,227063,2016-03-01
Ausland,262724,2016-04-01
Ausland,255870,2016-05-01
Ausland,282846,2016-06-01
Ausland,324260,2016-07-01
Ausland,299058,2016-08-01
Ausland,340805,2016-09-01
Ausland,275065,2016-10-01
Ausland,223882,2016-11-01
Ausland,261911,2016-12-01
Ausland,190432,2015-01-01
Ausland,197060,2015-02-01
Ausland,218027,2015-03-01
Ausland,233687,2015-04-01
Ausland,272014,2015-05-01
Ausland,276326,2015-06-01
Ausland,343738,2015-07-01
Ausland,357987,2015-08-01
Ausland,344722,2015-09-01
Ausland,292641,2015-10-01
Ausland,220379,2015-11-01
Ausland,260992,2015-12-01
Ausland,191581,2014-01-01
Ausland,168186,2014-02-01
Ausland,205127,2014-03-01
Ausland,231983,2014-04-01
Ausland,271641,2014-05-01
Ausland,257506,2014-06-01
Ausland,305983,2014-07-01
Ausland,320942,2014-08-01
Ausland,307995,2014-09-01
Ausland,272239,2014-10-01
Ausland,216499,2014-11-01
Ausland,258922,2014-12-01
Ausland,172136,2013-01-01
Ausland,177280,2013-02-01
Ausland,199629,2013-03-01
Ausland,230863,2013-04-01
Ausland,238117,2013-05-01
Ausland,254978,2013-06-01
Ausland,287510,2013-07-01
Ausland,297364,2013-08-01
Ausland,302616,2013-09-01
Ausland,263417,2013-10-01
Ausland,199988,2013-11-01
Ausland,236441,2013-12-01
Ausland,166562,2012-01-01
Ausland,149208,2012-02-01
Ausland,188249,2012-03-01
Ausland,208614,2012-04-01
Ausland,239861,2012-05-01
Ausland,246573,2012-06-01
Ausland,292193,2012-07-01
Ausland,274448,2012-08-01
Ausland,293493,2012-09-01
Ausland,268228,2012-10-01
Ausland,198493,2012-11-01
Ausland,222542,2012-12-01
Ausland,150441,2011-01-01
Ausland,157510,2011-02-01
Ausland,163129,2011-03-01
Ausland,187604,2011-04-01
Ausland,205111,2011-05-01
Ausland,222244,2011-06-01
Ausland,294822,2011-07-01
Ausland,244971,2011-08-01
Ausland,305970,2011-09-01
Ausland,230144,2011-10-01
Ausland,187700,2011-11-01
Ausland,216126,2011-12-01
Ausland,118736,2010-01-01
Ausland,153054,2010-02-01
Ausland,164568,2010-03-01
Ausland,189195,2010-04-01
Ausland,190892,2010-05-01
Ausland,222317,2010-06-01
Ausland,291066,2010-07-01
Ausland,249572,2010-08-01
Ausland,304246,2010-09-01
Ausland,225569,2010-10-01
Ausland,171643,2010-11-01
Ausland,201224,2010-12-01
Ausland,118411,2009-01-01
Ausland,111805,2009-02-01
Ausland,131439,2009-03-01
Ausland,148224,2009-04-01
Ausland,184501,2009-05-01
Ausland,175192,2009-06-01
Ausland,231342,2009-07-01
Ausland,215795,2009-08-01
Ausland,245801,2009-09-01
Ausland,204173,2009-10-01
Ausland,151953,2009-11-01
Ausland,186300,2009-12-01
Ausland,129379,2008-01-01
Ausland,130896,2008-02-01
Ausland,147580,2008-03-01
Ausland,164989,2008-04-01
Ausland,175397,2008-05-01
Ausland,195010,2008-06-01
Ausland,223642,2008-07-01
Ausland,223055,2008-08-01
Ausland,217192,2008-09-01
Ausland,195765,2008-10-01
Ausland,133030,2008-11-01
Ausland,157242,2008-12-01
Ausland,113394,2007-01-01
Ausland,125029,2007-02-01
Ausland,149562,2007-03-01
Ausland,170719,2007-04-01
Ausland,165728,2007-05-01
Ausland,183839,2007-06-01
Ausland,220585,2007-07-01
Ausland,222335,2007-08-01
Ausland,224852,2007-09-01
Ausland,201168,2007-10-01
Ausland,150468,2007-11-01
Ausland,170245,2007-12-01
Ausland,103867,2006-01-01
Ausland,98880,2006-02-01
Ausland,130423,2006-03-01
Ausland,135093,2006-04-01
Ausland,160295,2006-05-01
Ausland,183239,2006-06-01
Ausland,215313,2006-07-01
Ausland,198945,2006-08-01
Ausland,225853,2006-09-01
Ausland,171830,2006-10-01
Ausland,140541,2006-11-01
Ausland,162121,2006-12-01
Inland,332801,2020-01-01
Inland,347485,2020-02-01
Inland,334585,2019-01-01
Inland,335406,2019-02-01
Inland,384248,2019-03-01
Inland,398025,2019-04-01
Inland,439951,2019-05-01
Inland,415447,2019-06-01
Inland,486206,2019-07-01
Inland,388947,2019-08-01
Inland,401853,2019-09-01
Inland,454277,2019-10-01
Inland,415367,2019-11-01
Inland,395154,2019-12-01
Inland,296634,2018-01-01
Inland,313378,2018-02-01
Inland,384541,2018-03-01
Inland,375445,2018-04-01
Inland,369289,2018-05-01
Inland,412602,2018-06-01
Inland,464409,2018-07-01
Inland,353206,2018-08-01
Inland,376757,2018-09-01
Inland,421285,2018-10-01
Inland,387699,2018-11-01
Inland,356931,2018-12-01
Inland,280092,2017-01-01
Inland,284646,2017-02-01
Inland,333125,2017-03-01
Inland,326428,2017-04-01
Inland,365027,2017-05-01
Inland,359175,2017-06-01
Inland,404198,2017-07-01
Inland,343560,2017-08-01
Inland,347891,2017-09-01
Inland,404633,2017-10-01
Inland,344086,2017-11-01
Inland,349552,2017-12-01
Inland,239061,2016-01-01
Inland,270093,2016-02-01
Inland,330011,2016-03-01
Inland,340744,2016-04-01
Inland,333190,2016-05-01
Inland,344920,2016-06-01
Inland,373705,2016-07-01
Inland,307192,2016-08-01
Inland,337415,2016-09-01
Inland,390787,2016-10-01
Inland,327316,2016-11-01
Inland,313430,2016-12-01
Inland,248698,2015-01-01
Inland,254687,2015-02-01
Inland,310852,2015-03-01
Inland,296770,2015-04-01
Inland,326944,2015-05-01
Inland,327748,2015-06-01
Inland,361398,2015-07-01
Inland,325912,2015-08-01
Inland,309166,2015-09-01
Inland,368299,2015-10-01
Inland,319523,2015-11-01
Inland,293982,2015-12-01
Inland,228785,2014-01-01
Inland,249884,2014-02-01
Inland,286341,2014-03-01
