DATE,Alte Pinakothek,Ausland (Tourismus),Olympiapark,Bayerisches Nationalmuseum,Bayerisches Staatsorchester,Deutsches Museum,Inland (Tourismus),Kleine Olympiahalle,Museum Brandhorst,Museum Mensch und Natur,Muenchner Kammerspiele,Muenchner Philharmoniker,Muenchner Stadtmuseum,Nationaltheater,Neue Pinakothek,Olympia-Eissportzentrum,Olympiahalle,Olympiastadion,Olympiaturm,Pinakothek der Moderne,Prinzregententheater,Residenztheater,Schackgalerie,Schauburg - Theater fuer junges Publikum,Staedtische Galerie im Lenbachhaus,Theater am Gaertnerplatz,Tierpark Hellabrunn,Kinos
01/01/2000,23178,0,57396.03004,23050,2969.1,61758,0,4600,0,0,0,19295.3,10637,51961.1,21081,53358,40500,6853,27558,0,0,18730.6,3830,3423.6,12687,19525.9,33033,554594
01/02/2000,20684,0,57396.03004,16000,658.8,59371,0,57396.03004,0,0,0,16545.4,15769,44496,17635,38532,85800,172987,32847,0,0,19830.1,1553,4783.6,13433,18896.3,39591,497041
01/03/2000,26725,0,6500,3827,4150,99024,0,300,0,0,0,29405.8,18051,50777.7,25439,39747,62600,244351,44306,0,0,19615.3,1333,3889.4,19288,19523.1,45113,405974
01/04/2000,16750,0,1600,3491,4591.4,111939,0,800,0,0,0,21083.1,10351,51246.1,14287,30436,17400,348904,81363,0,0,15786,814,3197.5,16879,17381,152503,413818
01/05/2000,21291,0,1750,2243,527.6,91902,0,450,0,0,0,14862,13844,45895.5,14405,6039,97100,230485,72293,0,0,14613.7,587,5402,14070,18199.2,82923,304364
01/06/2000,28401,0,39000,5042,6150.3,75860,0,1000,0,0,0,19453.1,14741,28653.6,18023,9668,48000,20423,73379,0,0,15231,754,3004.8,12661,15472.1,100089,291474
01/07/2000,37193,0,101500,10142,9342.8,144578,0,57396.03004,0,0,0,19343.6,26468,57351.7,23785,13580,22500,197930,98156,0,0,16956.3,1749,3811.2,18039,18930.46492,115589,429441
01/08/2000,29980,0,461000,6378,11523.11961,110022,0,57396.03004,0,0,0,11498.17614,13660,18969.56682,25509,22281,4800,293106,110355,0,0,18949.8636,1264,18940.11325,13161,18930.46492,147673,342364
01/09/2000,30711,0,121700,12439,11523.11961,81054,0,4500,0,0,0,27965.5,12039,24402.7,14703,19993,11100,264932,79041,0,0,1202.3,1123,18940.11325,12239,6599.8,87865,334245
01/10/2000,37823,0,150,17788,5229.8,99071,0,600,0,0,0,12040.8,22603,50976.5,29675,33380,122400,219020,61924,0,0,20246.9,4827,3106.7,28407,18009.5,72083,451179
01/11/2000,22069,0,2150,10539,952.7,55319,0,57396.03004,0,0,0,28479.2,13024,53944.6,23474,30655,148000,208177,45404,0,0,18496.3,1038,3757,14790,17701.2,50420,396161
01/12/2000,16812,0,2100,30894,3968.2,56429,0,57396.03004,0,0,0,30991.9,10795,48236.3,14519,45316,74900,155996,39339,0,0,20595.7,695,4282.7,13412,21360.2,32955,457936
01/01/2001,19988,0,57396.03004,21066,5549.4,64121,0,2700,0,0,0,21666.1,13857,50435.9,25520,49762,37600,39000,33775,0,0,19263.5,963,5094.6,15545,19166.8,30842,501424
01/02/2001,54045,0,5000,9018,4916.9,56968,0,3000,0,0,0,24186.6,14256,48132.6,24152,34640,84700,156504,34124,0,0,18433.7,1023,3817.8,18271,16701.6,35044,487303
01/03/2001,70567,0,57396.03004,6139,4987.5,83484,0,2300,0,0,0,29594.4,15469,47383.8,34109,33820,61100,243017,43491,0,0,22059.6,1050,4685.5,21122,19840.8,37511,528917
01/04/2001,56436,0,13800,5484,3493.2,127512,0,57396.03004,0,0,0,21119.6,11948,49767,35327,34640,47000,253221,68802,0,0,17756.1,803,3416.5,19290,17172.4,73310,484568
01/05/2001,31642,0,2150,3314,7243.8,68935,0,57396.03004,0,0,0,10392.3,9598,45355.4,27492,6607,47300,225037,60340,0,0,19894.6,980,5334.3,16457,18582.3,100689,239742
01/06/2001,32068,0,36500,3952,11523.11961,108501,0,900,0,0,0,20058.8,12112,27596.5,22297,7237,27500,149815,65574,0,0,19662.1,626,3089.7,14824,15944.8,104400,378327
01/07/2001,39101,0,43300,3612,7634.1,122411,0,57396.03004,0,0,0,14421.3,14317,62170.4,21802,8220,67100,132095,91481,0,0,4417.6,645,3776.9,15394,16975.3,125044,399228
01/08/2001,47023,0,509500,3162,11523.11961,111440,0,57396.03004,0,0,0,11498.17614,9501,18969.56682,27620,9573,57396.03004,179986,98968,0,0,18949.8636,752,18940.11325,12854,18930.46492,169785,527934
01/09/2001,24144,0,20150,4228,11523.11961,102080,0,4400,0,0,0,30824.2,23257,18969.56682,21816,22568,83000,264425,59295,0,0,18949.8636,733,18940.11325,18231,10162.8,69790,524193
01/10/2001,18936,0,6600,3305,3902.7,82346,0,57396.03004,0,0,0,20714.8,20156,5509.6,16196,22945,69200,245681,72935,0,0,16217.7,535,3417.8,22001,18160.1,110838,440781
01/11/2001,21798,0,100,8067,4843.1,54556,0,57396.03004,0,0,0,31221.6,12704,46077.1,21578,40086,140900,214867,38185,0,0,21672.2,891,5186.1,16763,21247.5,39594,466526
01/12/2001,20738,0,4800,19433,4126.2,53243,0,57396.03004,0,0,0,27726.6,14671,52169.3,12606,41421,96800,119350,30761,0,0,23092.3,651,4121.6,12483,23912,26573,519699
01/01/2002,20162,0,50,10963,669.7,49094,0,2700,0,0,0,23686.1,17788,51546.8,12570,37851,29700,29140,27823,0,16639.4,22108.7,682,4426,17210,18705.2,38342,560263
01/02/2002,25853,0,50,10567,5330.5,56223,0,2500,0,0,0,14980.2,11642,43748.6,30009,24480,94800,201519,34909,0,12427.3,20683.8,975,3294.6,20032,16931,55812,451517
01/03/2002,18848,0,10400,3906,4882.8,84049,0,57396.03004,0,0,0,22534,10460,48509.2,31668,41550,49500,229335,59718,0,16641.2,19027.5,605,4130.4,20186,16445.2,111390,470107
01/04/2002,19595,0,1950,6150,4781.3,78638,0,9500,0,0,0,23510.6,10167,50136.5,27899,23519,50030,240010,59737,0,10062.5,15721.2,727,4408.8,16895,15307.3,115294,416408
01/05/2002,24275,0,52900,6405,1202,99892,0,57396.03004,0,0,0,13751.7,11782,47288,37721,7050,28800,85595,71340,0,7561.7,17300.9,1055,3189.8,18512,14165.6,139163,399918
01/06/2002,15745,0,126400,4512,4259,60447,0,57396.03004,0,0,0,25255.2,7606,30781.2,12866,4035,73800,12438,51774,0,10979.7,14848,673,4051.7,14059,16039.2,70739,309710
01/07/2002,25704,0,133600,5277,9564.9,125888,0,57396.03004,0,0,0,7242.1,10683,58975.7,20291,4451,66200,24734,83373,0,2026.9,10585.2,757,4930.5,17821,19465.1,118947,462654
