attraction_name,Traveled on business,Traveled solo,Traveled with friends,Traveled as a couple,Traveled with family,visitors_from_munich,visitors_outside_munich,visitors_outside_eu,visitors_from_eu
Allianz Arena,0.028901734104046242,0.057803468208092484,0.26011560693641617,0.27167630057803466,0.3815028901734104,0.04555808656036447,0.13439635535307518,0.3621867881548975,0.45785876993166286
Alte_Pinakothek,0.0391304347826087,0.1956521739130435,0.20434782608695654,0.3652173913043478,0.1956521739130435,0.08391608391608392,0.11888111888111888,0.4965034965034965,0.3006993006993007
Asamkirche,,0.08695652173913043,0.08695652173913043,0.4782608695652174,0.34782608695652173,0.044642857142857144,0.0625,0.5714285714285714,0.32142857142857145
BMW Museum,0.07210031347962383,0.11598746081504702,0.21630094043887146,0.3667711598746082,0.22884012539184953,0.043037974683544304,0.027848101265822784,0.6126582278481013,0.31645569620253167
Deutsches_Museum,0.02877697841726619,0.07194244604316546,0.17985611510791366,0.2589928057553957,0.460431654676259,0.07906976744186046,0.18604651162790697,0.3488372093023256,0.386046511627907
Eisbach Wave,0.031746031746031744,0.1111111111111111,0.14285714285714285,0.4126984126984127,0.30158730158730157,0.058823529411764705,0.1493212669683258,0.4479638009049774,0.3438914027149321
English Garden,0.014285714285714285,0.09714285714285714,0.2057142857142857,0.4085714285714286,0.2742857142857143,0.07786259541984733,0.11908396946564885,0.416793893129771,0.38625954198473283
Lenbachhaus,0.042328042328042326,0.25925925925925924,0.21164021164021163,0.35978835978835977,0.12698412698412698,0.1331168831168831,0.21428571428571427,0.43506493506493504,0.21753246753246752
Marienplatz,0.06540084388185655,0.08860759493670886,0.22362869198312235,0.4050632911392405,0.21729957805907174,0.033632286995515695,0.07399103139013453,0.5280269058295964,0.36434977578475336
Munchener Tierpark Hellabrunn,0.018867924528301886,0.018867924528301886,0.16981132075471697,0.32075471698113206,0.4716981132075472,0.12380952380952381,0.20952380952380953,0.29523809523809524,0.37142857142857144
Munich Residenz,0.01775147928994083,0.10059171597633136,0.19822485207100593,0.44970414201183434,0.23372781065088757,0.031512605042016806,0.06722689075630252,0.4831932773109244,0.4180672268907563
New_Town_Hall,0.015151515151515152,0.19696969696969696,0.19696969696969696,0.36363636363636365,0.22727272727272727,0.01020408163265306,0.061224489795918366,0.5561224489795918,0.37244897959183676
Nymphenburg Palace,0.015625,0.1125,0.196875,0.43125,0.24375,0.048625792811839326,0.080338266384778,0.5116279069767442,0.3594080338266385
Olympiapark,0.034013605442176874,0.08503401360544217,0.20068027210884354,0.3877551020408163,0.2925170068027211,0.04043126684636118,0.15633423180592992,0.42318059299191374,0.38005390835579517
Olympic Tower,0.05714285714285714,0.02857142857142857,0.2857142857142857,0.34285714285714286,0.2857142857142857,0.034482758620689655,0.09482758620689655,0.43103448275862066,0.4396551724137931
Residenz Munich,0.025,0.1,0.2,0.475,0.2,0.024154589371980676,0.06763285024154589,0.48792270531400966,0.42028985507246375
St_Peter's Church,0.017699115044247787,0.1504424778761062,0.1415929203539823,0.4336283185840708,0.25663716814159293,0.024509803921568627,0.05392156862745098,0.5833333333333334,0.3382352941176471
Viktualienmarkt,0.03076923076923077,0.10256410256410256,0.20512820512820512,0.4512820512820513,0.21025641025641026,0.030405405405405407,0.13175675675675674,0.48986486486486486,0.34797297297297297
