,date,place,rating,#_of_visits,city_district,city_district_metric,all_metric_score,type_door
0,2016-06-04,Museum Brandhorst,26.666666666666668,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
1,2016-07-04,Museum Brandhorst,40.0,8,Maxvorstadt,Maxvorstadt,15512.5,indoors
2,2016-08-04,Bayerisches Staatsoper,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
3,2016-08-04,Museum Brandhorst,40.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
4,2016-09-04,Museum Brandhorst,50.0,4,Maxvorstadt,Maxvorstadt,15512.5,indoors
5,2016-10-04,Bayerisches Staatsoper,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
6,2016-10-04,Museum Brandhorst,48.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
7,2016-11-04,Museum Brandhorst,26.666666666666668,6,Maxvorstadt,Maxvorstadt,15512.5,indoors
8,2016-12-04,Bayerisches Staatsoper,40.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
9,2016-12-04,Museum Brandhorst,34.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
10,2017-01-04,Bayerisches Staatsoper,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
11,2017-01-04,Museum Brandhorst,30.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
12,2017-02-04,Museum Brandhorst,46.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
13,2017-03-04,Bayerisches Staatsoper,43.333333333333336,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
14,2017-03-04,Museum Brandhorst,50.0,6,Maxvorstadt,Maxvorstadt,15512.5,indoors
15,2017-04-04,Bayerisches Staatsoper,50.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
16,2017-04-04,Museum Brandhorst,35.0,6,Maxvorstadt,Maxvorstadt,15512.5,indoors
17,2017-05-04,Bayerisches Staatsoper,48.333333333333336,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
18,2017-06-04,Bayerisches Staatsoper,45.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
19,2017-06-04,Museum Brandhorst,29.375,16,Maxvorstadt,Maxvorstadt,15512.5,indoors
20,2017-07-04,BMW Museum,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
21,2017-07-04,Bayerisches Staatsoper,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
22,2017-07-04,Museum Brandhorst,40.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
23,2017-08-04,Bayerisches Staatsoper,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
24,2017-08-04,Museum Brandhorst,35.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
25,2017-09-04,Bayerisches Staatsoper,40.0,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
26,2017-09-04,Museum Brandhorst,46.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
27,2017-10-04,Alte Pinakothek,46.666666666666664,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
28,2017-10-04,BMW Museum,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
29,2017-10-04,Bayerisches Staatsoper,45.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
30,2017-10-04,Marienplatz,40.0,1,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
31,2017-10-04,Museum Brandhorst,50.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
32,2017-11-04,BMW Museum,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
33,2017-11-04,Bayerisches Staatsoper,32.0,5,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
34,2017-11-04,Museum Brandhorst,50.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
35,2017-12-04,Bayerisches Staatsoper,50.0,8,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
36,2017-12-04,Museum Brandhorst,33.333333333333336,6,Maxvorstadt,Maxvorstadt,15512.5,indoors
37,2017-12-04,Olympiapark,50.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
38,2018-01-04,Alte Pinakothek,45.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
39,2018-01-04,BMW Museum,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
40,2018-01-04,Bayerisches Staatsoper,50.0,4,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
41,2018-01-04,Museum Brandhorst,33.333333333333336,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
42,2018-01-04,Olympiapark,45.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
43,2018-02-04,Allianz Arena,40.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
44,2018-02-04,Alte Pinakothek,50.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
45,2018-02-04,BMW Museum,50.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
46,2018-02-04,Bayerisches Staatsoper,50.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
47,2018-02-04,Museum Brandhorst,45.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
48,2018-03-04,Allianz Arena,50.0,2,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
49,2018-03-04,BMW Museum,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
50,2018-03-04,Bayerisches Staatsoper,50.0,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
51,2018-03-04,Munich Residenz,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
52,2018-03-04,Museum Brandhorst,43.333333333333336,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
53,2018-03-04,Olympiapark,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
54,2018-04-04,Allianz Arena,46.666666666666664,3,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
55,2018-04-04,Alte Pinakothek,40.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
56,2018-04-04,BMW Museum,50.0,5,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
57,2018-04-04,Bayerisches Nationalmuseum,50.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
58,2018-04-04,Bayerisches Staatsoper,50.0,4,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
59,2018-04-04,Munich Residenz,50.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
60,2018-04-04,Olympiapark,50.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
61,2018-04-04,Pinakothek der Moderne,50.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
62,2018-05-04,Allianz Arena,50.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
63,2018-05-04,Alte Pinakothek,50.0,4,Maxvorstadt,Maxvorstadt,15512.5,indoors
64,2018-05-04,BMW Museum,50.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
65,2018-05-04,Bayerisches Staatsoper,46.666666666666664,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
66,2018-05-04,Munich Residenz,50.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
67,2018-05-04,Museum Brandhorst,25.0,4,Maxvorstadt,Maxvorstadt,15512.5,indoors
68,2018-05-04,Nymphenburg Palace,50.0,1,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
69,2018-05-04,Olympiapark,35.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
70,2018-05-04,Olympiaturm,40.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
71,2018-06-04,Allianz Arena,48.333333333333336,6,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
72,2018-06-04,Alte Pinakothek,45.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
73,2018-06-04,BMW Museum,45.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
74,2018-06-04,Bayerisches Staatsoper,50.0,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
75,2018-06-04,Munich Residenz,40.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
76,2018-06-04,Museum Brandhorst,40.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
77,2018-06-04,Nymphenburg Palace,42.5,4,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
78,2018-06-04,Olympiapark,50.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
79,2018-06-04,Tierpark Hellabrunn,50.0,1,Untergiesing-Harlaching,Untergiesing-Harlaching,3599.5,outdoors
80,2018-07-04,Allianz Arena,40.0,4,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
81,2018-07-04,Alte Pinakothek,50.0,2,Maxvorstadt,Maxvorstadt,15512.5,indoors
82,2018-07-04,BMW Museum,43.333333333333336,6,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
83,2018-07-04,Bayerisches Nationalmuseum,40.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
84,2018-07-04,Bayerisches Staatsoper,45.0,12,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
85,2018-07-04,Munich Residenz,45.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
86,2018-07-04,Museum Brandhorst,50.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
87,2018-07-04,Nymphenburg Palace,40.0,1,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
88,2018-07-04,Olympiapark,46.666666666666664,3,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
89,2018-07-04,Olympiaturm,50.0,1,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
90,2018-07-04,Pinakothek der Moderne,50.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
91,2018-07-04,Tierpark Hellabrunn,50.0,1,Untergiesing-Harlaching,Untergiesing-Harlaching,3599.5,outdoors
92,2018-07-04,Viktualienmarkt,40.0,1,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
93,2018-08-04,Allianz Arena,43.0,10,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
94,2018-08-04,Alte Pinakothek,47.77777777777778,27,Maxvorstadt,Maxvorstadt,15512.5,indoors
95,2018-08-04,BMW Museum,42.72727272727273,11,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
96,2018-08-04,Bayerisches Nationalmuseum,30.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
97,2018-08-04,Bayerisches Staatsoper,45.0,4,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
98,2018-08-04,Deutsches Museum,50.0,1,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
99,2018-08-04,English Garden,50.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
100,2018-08-04,Munich Residenz,50.0,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
101,2018-08-04,Museum Brandhorst,22.5,8,Maxvorstadt,Maxvorstadt,15512.5,indoors
102,2018-08-04,Nymphenburg Palace,41.666666666666664,6,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
103,2018-08-04,Olympiapark,45.0,4,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
104,2018-08-04,Pinakothek der Moderne,40.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
105,2018-08-04,St-Peter Munich,45.0,2,Altstadt-Lehel,Altstadt-Lehel,0,indoors
106,2018-08-04,Tierpark Hellabrunn,50.0,2,Untergiesing-Harlaching,Untergiesing-Harlaching,3599.5,outdoors
107,2018-08-04,Viktualienmarkt,45.0,2,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
108,2018-09-04,Allianz Arena,43.333333333333336,3,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
109,2018-09-04,Alte Pinakothek,45.333333333333336,15,Maxvorstadt,Maxvorstadt,15512.5,indoors
110,2018-09-04,BMW Museum,43.10344827586207,29,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
111,2018-09-04,Bayerisches Nationalmuseum,33.333333333333336,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
112,2018-09-04,Deutsches Museum,50.0,1,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
113,2018-09-04,English Garden,50.0,4,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
114,2018-09-04,Marienplatz,45.0,2,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
115,2018-09-04,Munich Residenz,40.0,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
116,2018-09-04,Museum Brandhorst,40.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
117,2018-09-04,Nymphenburg Palace,50.0,2,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
118,2018-09-04,Olympiapark,44.61538461538461,13,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
119,2018-09-04,Olympiaturm,50.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
120,2018-09-04,Pinakothek der Moderne,50.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
121,2018-10-04,Allianz Arena,45.714285714285715,7,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
122,2018-10-04,Alte Pinakothek,50.0,15,Maxvorstadt,Maxvorstadt,15512.5,indoors
123,2018-10-04,BMW Museum,38.0,25,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
124,2018-10-04,Bayerisches Nationalmuseum,50.0,4,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
125,2018-10-04,Bayerisches Staatsoper,45.0,4,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
126,2018-10-04,English Garden,48.0,5,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
127,2018-10-04,Marienplatz,48.57142857142857,7,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
128,2018-10-04,Munich Residenz,50.0,2,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
129,2018-10-04,Nymphenburg Palace,46.666666666666664,9,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
130,2018-10-04,Olympiapark,43.333333333333336,15,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
131,2018-10-04,Pinakothek der Moderne,46.666666666666664,9,Maxvorstadt,Maxvorstadt,15512.5,indoors
132,2018-10-04,St-Peter Munich,40.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
133,2018-10-04,Viktualienmarkt,50.0,1,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
134,2018-11-04,Allianz Arena,48.0,15,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
135,2018-11-04,Alte Pinakothek,46.8421052631579,19,Maxvorstadt,Maxvorstadt,15512.5,indoors
136,2018-11-04,Asamkirche Munich,50.0,4,Sendling,Sendling,0,indoors
137,2018-11-04,BMW Museum,42.666666666666664,15,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
138,2018-11-04,Bayerisches Nationalmuseum,30.0,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
139,2018-11-04,Bayerisches Staatsoper,50.0,5,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
140,2018-11-04,Deutsches Museum,50.0,3,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
141,2018-11-04,Eisbach,40.0,5,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
142,2018-11-04,English Garden,50.0,2,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
143,2018-11-04,Marienplatz,42.5,4,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
144,2018-11-04,Munich Residenz,46.666666666666664,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
145,2018-11-04,Neues Rathaus Munich,40.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
146,2018-11-04,Nymphenburg Palace,45.0,2,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
147,2018-11-04,Olympiapark,45.0,28,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
148,2018-11-04,Pinakothek der Moderne,44.0,5,Maxvorstadt,Maxvorstadt,15512.5,indoors
149,2018-11-04,St-Peter Munich,50.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
150,2018-11-04,Viktualienmarkt,40.0,1,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
151,2018-12-04,Allianz Arena,45.609756097560975,41,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
152,2018-12-04,Alte Pinakothek,48.666666666666664,15,Maxvorstadt,Maxvorstadt,15512.5,indoors
153,2018-12-04,Asamkirche Munich,50.0,1,Sendling,Sendling,0,indoors
154,2018-12-04,BMW Museum,44.0,30,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
155,2018-12-04,Bayerisches Nationalmuseum,44.0,10,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
156,2018-12-04,Bayerisches Staatsoper,34.0,5,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
157,2018-12-04,English Garden,50.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
158,2018-12-04,Marienplatz,42.22222222222222,9,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
159,2018-12-04,Munich Residenz,44.44444444444444,9,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
160,2018-12-04,Museum Brandhorst,40.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
161,2018-12-04,Olympiapark,44.193548387096776,31,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
162,2018-12-04,Pinakothek der Moderne,44.166666666666664,12,Maxvorstadt,Maxvorstadt,15512.5,indoors
163,2018-12-04,St-Peter Munich,40.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
164,2018-12-04,Tierpark Hellabrunn,50.0,1,Untergiesing-Harlaching,Untergiesing-Harlaching,3599.5,outdoors
165,2019-01-04,Allianz Arena,45.55555555555556,27,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
166,2019-01-04,Alte Pinakothek,46.111111111111114,18,Maxvorstadt,Maxvorstadt,15512.5,indoors
167,2019-01-04,BMW Museum,37.333333333333336,15,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
168,2019-01-04,Bayerisches Nationalmuseum,46.666666666666664,6,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
169,2019-01-04,Bayerisches Staatsoper,26.666666666666668,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
170,2019-01-04,English Garden,50.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
171,2019-01-04,Marienplatz,45.0,6,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
172,2019-01-04,Munich Residenz,45.0,24,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
173,2019-01-04,Museum Brandhorst,30.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
174,2019-01-04,Neues Rathaus Munich,40.0,2,Altstadt-Lehel,Altstadt-Lehel,0,indoors
175,2019-01-04,Nymphenburg Palace,45.0,2,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
176,2019-01-04,Olympiapark,43.0,20,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
177,2019-01-04,Pinakothek der Moderne,40.0,3,Maxvorstadt,Maxvorstadt,15512.5,indoors
178,2019-01-04,St-Peter Munich,50.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
179,2019-02-04,Allianz Arena,43.46153846153846,26,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
180,2019-02-04,Alte Pinakothek,45.0,20,Maxvorstadt,Maxvorstadt,15512.5,indoors
181,2019-02-04,BMW Museum,44.44444444444444,18,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
182,2019-02-04,Bayerisches Nationalmuseum,46.666666666666664,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
183,2019-02-04,Bayerisches Staatsoper,50.0,3,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
184,2019-02-04,Deutsches Museum,50.0,2,Ludwigsvorstadt-Isarvorstadt,Ludwigsvorstadt-Isarvorstadt,16075.5,indoors
185,2019-02-04,Eisbach,50.0,1,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
186,2019-02-04,English Garden,46.666666666666664,3,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
187,2019-02-04,Marienplatz,48.333333333333336,6,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
188,2019-02-04,Munich Residenz,46.875,16,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
189,2019-02-04,Museum Brandhorst,40.0,1,Maxvorstadt,Maxvorstadt,15512.5,indoors
190,2019-02-04,Neues Rathaus Munich,50.0,1,Altstadt-Lehel,Altstadt-Lehel,0,indoors
191,2019-02-04,Nymphenburg Palace,45.0,2,Neuhausen-Nymphenburg,Neuhausen-Nymphenburg,0,indoors
192,2019-02-04,Olympiapark,43.333333333333336,18,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
193,2019-02-04,Olympiaturm,40.0,2,Milbertshofen-Am Hart,Milbertshofen-Am Hart,4805.5,outdoors
194,2019-02-04,Pinakothek der Moderne,44.54545454545455,11,Maxvorstadt,Maxvorstadt,15512.5,indoors
195,2019-02-04,St-Peter Munich,43.333333333333336,3,Altstadt-Lehel,Altstadt-Lehel,0,indoors
196,2019-02-04,Viktualienmarkt,40.0,2,Altstadt-Lehel,Altstadt-Lehel,0,outdoors
197,2019-03-04,Allianz Arena,47.142857142857146,42,Schwabing-Freimann,Schwabing-Freimann,0,outdoors
198,2019-03-04,Alte Pinakothek,46.0,15,Maxvorstadt,Maxvorstadt,15512.5,indoors
199,2019-03-04,BMW Museum,47.391304347826086,23,Milbertshofen-Am Hart,Milbertshofen-Am Hart,0,indoors
200,2019-03-04,Bayerisches Nationalmuseum,40.0,1,Altstadt-Lehel,Altstadt-Lehel,4664.0,indoors
