date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Asam,"Small church but arguably the most impressive one for me in all Munich. So much details, loved the architecture ",50,"Nuremberg, Germany",
Date of experience: August 2020,Small but perfectly formed.,"You can't fully walk around this church at this time because there's not enough space to maintain social distancing. You can view the interior from the closed gates, and still take photos of the amazing interior. It's still worth a visit.",50,"Maidenhead, United Kingdom",
Date of experience: July 2020,Astonishing interior,"This 18th century baroque chapel is a marvel. Although quite small, it is intricately decorated inside and the effect as you step through the door from the street is breathtaking. Built as a private chapel for the wealthy Asam family (who lived next door), it was opened to the",50,"Kingston upon Thames, United Kingdom",
Date of experience: February 2020,Unassuming and small but stunning from the inside,"If you are into art, architecture and decorated building, this is a must go. There is no entry fee. There isn't a wall section or ceiling which hasn't been decorated beautifully.",50,"Hyderabad, India",
Date of experience: January 2020,Rich and Beautiful,This Church has very beautiful paintings and sculptures. This place  gives you a serene experience. Good to see old church.,50,"Pune, India",
Date of experience: February 2020,Amazingly beautiful!,This is a small church but it's one of the most beautiful that I've seen.  It's also easily reachable from the city centre and I would say is a MUST GO!,50,"Hong Kong, China",
Date of experience: January 2020,Don’t miss,It is easy to miss this beautiful church on Sendlinger Strasse but it would be a shame not to pop in for a few minutes and marvel at the ornate artwork created by brothers as a private place of worship. ,40,"Warrington, United Kingdom",
Date of experience: February 2020,Small baroque jewel in the heart of Munich,"This is a very small church a short distance from Marienplatz.  The interior takes baroque about as far as it can go, it is just wild.   If you like architecture, or art, or just bling, I recommend a visit.",50,"Florida Keys, Florida",
Date of experience: December 2019,Totally Incredible,"The is a very small church- it was built as a private church for a family- but is astoundingly ornate.  Every inch is decorated.  It is truly overwhelming.  It's located on a major pedestrian shopping street so to find this in the middle of Lululemon, Timberland, North Face etc.",50,"Warrington, Pennsylvania",
Date of experience: December 2019,The best & most different church in Munich,"This church is different from all the churches I have seen, because of the size and the ornaments. It's simple, yet elegant. ",50,"Istanbul, Turkey",
Date of experience: February 2020,Amazingly beautiful!,This is a small church but it's one of the most beautiful that I've seen.  It's also easily reachable from the city centre and I would say is a MUST GO!,50,"Hong Kong, China",
Date of experience: January 2020,Don’t miss,It is easy to miss this beautiful church on Sendlinger Strasse but it would be a shame not to pop in for a few minutes and marvel at the ornate artwork created by brothers as a private place of worship.,40,"Warrington, United Kingdom",
Date of experience: February 2020,Small baroque jewel in the heart of Munich,"This is a very small church a short distance from Marienplatz.  The interior takes baroque about as far as it can go, it is just wild.   If you like architecture, or art, or just bling, I recommend a visit.",50,"Florida Keys, Florida",
Date of experience: December 2019,Totally Incredible,"The is a very small church- it was built as a private church for a family- but is astoundingly ornate.  Every inch is decorated.  It is truly overwhelming.  It's located on a major pedestrian shopping street so to find this in the middle of Lululemon, Timberland, North Face etc. is mind-bending.",50,"Warrington, Pennsylvania",
Date of experience: December 2019,The best & most different church in Munich,"This church is different from all the churches I have seen, because of the size and the ornaments. It's simple, yet elegant.",50,"Istanbul, Turkey",
