date,title,text,rating,visitor_origin,visit
Date of experience: July 2020,Beautiful sight,"In summer there is a beer garden inside the' atrium, a perfect spot to have a drink and enjoy the majestic building.",40,"Madrid, Spain",
Date of experience: September 2019,review ,"I have visit that squar to times, first time was in 2015 and the second time was in 2019, it including many activity there to see, you can see people singing, dancing, playing the piano. Also, there is a many luxury brand.there's maaany thing to do, so you should allotting three to four hours for touring there.",50,"Doha, Qatar",Trip type: Traveled with family
Date of experience: July 2020,Eat drink and be merry,"A visit is a must, centre of the old town for  shopping , outside  eating, drinks and some interesting architecture.  1st class travel system but at the moment a lot of road works and watch out for the cyclists they rule the roads and the pavements.",40,"Glasgow, United Kingdom",
Date of experience: December 2019,Christmas markets ,"Loved it, came back three times.  Just right with toasted nuts and mulled wine watching the glockenspiel.  A real highlight.",50,"Auckland Central, New Zealand",
Date of experience: July 2020,Amazing views,This was the meeting point for our free walking tour with Jax from Sandemans. Really beautiful place with lots of restaurants.,50,,Trip type: Traveled as a couple
Date of experience: August 2020,La plus belle place de Munich,"N’en doutez pas, la Marienplatz de Munich est particulièrement magnifique. Ne vaut pas celle de Bruxelles notamment car plus petite, elle fait découvrir la mairie et toute son architecture. Véritablement le centre de la ville, les badauds sont nombreux, parfois des danseurs dansent sur la place.",50,,
Date of experience: August 2020,MusthaveinMünchen,"Dieser muss man einfach gesehen haben, wenn man in München ist. Liegt in mitten der Einkaufsmeile von München und ist auch bei Covid19 Zeiten gut besucht.",40,"Bern, Switzerland",Trip type: Traveled as a couple
Date of experience: August 2020,Da vedere assolutamente! ,"Da vedere assolutamente se si passa per Monaco! È la piazza principale della città, situata all’interno di un isola solo pedonale. Presso Marienplatz si può ammirare il bellissimo Nuovo Municipio, con lo spettacolo del Carillon a determinate ore del giorno.",50,"Treviso, Italy",
Date of experience: August 2020,Wunderschöner Platz,Ein wirklich toller Platz mit Blick auf das neue Rathaus. Sehr sauber und gepflegt und aktuell auf Grund der Corona Krise wenig besucht.,50,"Munich, Germany",Trip type: Traveled as a couple
Date of experience: July 2020,Визитная карточка Мюнхена,"Знаковое место, обязательное к посещению. Новая ратуша просто оглушает своей величественностью.Вбей в Гугле или Ютубе - Мюнхен: Мариенплац + отель NH München Ost - и посмотри мой обзор этого красивейшего места.",50,"Szczecin, Poland",
Date of experience: August 2020,Schön aber viel los.,Einmal war ich am Marienplatz und es war schön aber viel los. Ich war um 12:00 Uhr dort weil dort das Glockenspiel im neuen Rathaus beginnt. Da haben sich dann viele Menschen versammelt. Aber ansonsten sehr schön.,40,"Dachau, Germany",Trip type: Traveled with family
