date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Nice but.. Small,As you get inside in the first two rooms you expect a gorgeous collection but there it stops as other rooms are way less interesting. Very nice the Cy towmblin collection in the first floor. The basement was under renovation. ,30,"Rome, Italy",
Date of experience: December 2019,Disappointed since don’t care for the art in its collection,"The better pieces are right when you enter.  Unless you like or (pretend to) understand Contemporary art, not worth your time. Lots of pictures that have paint drippings. Most memorable piece, at least to me, was a Warhol piece created by the artist and his minions relieving",30,River Forest Illinois,
Date of experience: April 2019,Worth seeing Warhol,"Probably the largest Warhol collection here, therefore worth a visit. Suggested if you are into contemporary art, otherwise all the remaining sections of the museum won't tell you much",30,milano,
Date of experience: December 2019,Fab if you like Cy Twombly,Good collection of contemporary art. Fantastic exhibition of Cy Twombly works beautifully hung. Worth a visit for these alone and free if you buy the all in Pinakotheke ticket.,50,"London, United Kingdom",
Date of experience: October 2019,Andy Warhol collection,This is a small art museum with the largest collection of Andy Warhol works in Europe. The building looks modern from the outside and catches your attention.,40,"Glen Oaks, New York",
Date of experience: July 2019,An impressive modern art private collection,The building itself with thousands of ceramic rods coating the exterior is worth noticing. The collection houses perhaps the largest Cy Twombly collection extant with floors devoted to Andy Warhol and contemporary artists. The guided private tour provided an understanding of the,50,"Ramat Hasharon, Israel",
Date of experience: July 2019,Small and only worth to see Warhol,This museum is super small and the only thing worth seeing is Warhol but the rest didn't take long to see. Good to kill time if you have nothing else to do.,20,"Munich, Germany",
Date of experience: July 2019,"Very clean place, great collection of art","This museum is very clean and well designed with many paintings and sculptures, and has the most Andy Warhol art of any other museum in Europe. It’s a very large collection of artwork, and I would recommend it to others who want to see many different forms of modern art.",50,"Ordos, China",
Date of experience: June 2019,"Great art and venue, absolutely the rudest staff ever.","Myself and my sister visited this lovely small museum on a weekend trip to Munich. The building is beautifully designed inside and out, and this is worthy if the €7 entry fee alone. We both found the exhibits to our taste, the lower floor possibly a little sinister, but",40,"Edinburgh, United Kingdom",
Date of experience: June 2019,Pretentious Rubbish,This museum epitomises everything I hate about modern art. Most of it is pretentious rubbish. The exhibit of Cy Twombly is the worst example of why. Most of it is nothing more than child-like scrawls with his interpretation of the Battle of Lepanto being case in point.  If you,10,"Glasgow, United Kingdom",
Date of experience: May 2019,Especially if You Love Cy,"Cy who? Cy Twombly. The upper level of the Brandhorst exclusively shows the works of Cy Twombly. Small works to massive works, rooms filled with unusually vivid swaths  of bold colors, paintings specialIy created to fill these rooms. I have seen many of his “scribble” paintings",50,"Ketchum, Idaho",
Date of experience: March 2019,Nice small museum,"Really nice museum! Small but charming! Not a must go, but you will have a very good time! Really nice staff and a charming cafe!",50,"Munich, Germany",
Date of experience: February 2019,Spectacular modern museum,"We had planned to go to Pinnacotek Neu but it was closed for renovations. Got a tip to go here and it was a very good choice. Two spectacular artists and exhibitions, Alex Katz and Cy Twombly.",40,"Mellbystrand, Sweden",
Date of experience: December 2018,Deserves Better,"I have long thought that Munich was the graffiti capital of Europe, an honour it has snatched from Paris. The city’s citizens must like it or there wouldn’t be so much of it.   It was not surprising, therefore, to see so many of these gute Bürger enjoying the work of Cy Twombly",40,"Sydney, Australia",
Date of experience: September 2018,Cy Twombly art,There is a floor here devoted to the art of Cy Twombly with enormous canvases of his work. It is a fascinating exhibit of his modern art.,40,,
Date of experience: July 2018,Warhols home in Munich,Modern art in amazing architecture. This museum is definitely worth a visit. There are three levels and often special exhibitions. Upstairs is the famous Cy Twombly room built to showcase his ‚Lepanto‘. ,50,"Munich, Germany",
Date of experience: August 2018,DO NOT GO!!!,"WARNING: DO NOT GO IF YOU WANT TO SEE WHAT IS PROMISED ON THEIR WEBSITE (KOONS, HURST, WARHOL, ETC.)  I read the reviews of the other visitors and I can imagine how someone’s personal taste might not agree with the art that’s shown, but that’s not the biggest problem in this",10,"Amsterdam, The Netherlands",
Date of experience: January 2018,Tidy museum,"This is a decent museum that frequently has interesting exhibitions.  In and of itself it is neither amazing nor mediocre, just an average building.  So tailor your interest based on the appeal of exhibitions.",30,"Munich, Germany",
Date of experience: June 2018,Fun for open minded people,"This is a modern art museum. You must come with an open mind and heart ready to observe, absorb and simply enjoy. We went thru the 3 floors presenting the Jutta Koether and also Cy Twombly. Modern art is always fascinating, funny, surprising, intriguing, annoying and above all",40,,
Date of experience: May 2018,save your time and money,"the closest thing to trash. very small, with paintings that repeats on themselves, with 4 years child quality. i would be a shame if i was them.",10,"Tel Aviv, Israel",
Date of experience: May 2018,For contemporary art experts,"On Sundays, the ticket costs just 1€. Only 1 floor is open at the present moment. The visit   is very short.",40,,
Date of experience: March 2018,Great building and pop art,Contemporary art is always liable to be hit and miss but I had a good visit thanks to the lovely building and excellent pop art exhibition including a large number of Warhols. The Cy Twombly room is something even if his messy scrawls are a bit tedious. The Seth Price temporary,40,"Mitcham, United Kingdom",
Date of experience: January 2018,Great museum,"This museum is located in the university district (north of the city center), that is a very pleasant area. Collections exposed are interesting for those who like contemporary art: Cy Twombly, Andy Warhol...",40,,
Date of experience: December 2017,For lovers of contemporary art,This is purely for lovers of contemporary art. It’s a stark building inside housing interesting work from small to large scale. The building exterior is worth seeing if you don’t have the time to go inside.,40,"Canberra, Australia",
Date of experience: June 2017,Great art museum ,One of my favourite art museums in Munich . They have a great collection of modern and contemporary art.,50,"New Delhi, India",
Date of experience: November 2017,Designed to display incredible pieces of Art!,"Our goal was to see the Pop Picture People exhibition, but we discovered the architectural design behind the construction of this museum. Cy Twombly had a lot of input in how his pieces were to be displayed resulting in a floor of incredible exhibition spaces for his very large",50,"Jacksonville Beach, Florida",
Date of experience: October 2017,Definitely worth a look,Entry to this museum was part of the 12€ deal for access to the three Pinakothek museums. The museum holds the Brandhorts family private collection. The Cy Twombly paintings on the top floor are a bit 'out there' but there is a narrative that explains what the artist is trying,50,"Camberley, United Kingdom",
Date of experience: September 2017,Visit on a Sunday for a one euro ticket,"What an impressively striking building this is. Like an artwork itself. Gorgeous architecture. Inside this small museum, the private collection of a husband and wife, the focus is on avant grade artists. We loved the floor that was devoted to the wonderful works of Cy Twombly. ",40,Sydney,
Date of experience: September 2017,Good for an hour or two,"The Museum Brandhorst was a pleasant afternoon place to visit with our 12 Euro ""Kombi"" ticket. The current exhibition with Kerstin Brätsch's works is enormous. Not only a number of rooms are dedicated to her work, but her paper and oil works are huge. She has an affinity for",50,"San Francisco, California",
Date of experience: August 2017,Don't bother,"Below average, and fairly small collection of art. If you are going to see the music exhibition then it's just ok.",20,"London, United Kingdom",
Date of experience: June 2017,One of my favorite museums,"This museum is fantastic! The collection is huge, exhibitions are mind-blowing and staff are very friendly!",50,"Kyiv (Kiev), Ukraine",
Date of experience: July 2017,Great little modern art gallery,We visited on a Sunday when the tickets cost just €1 each. It isn't a very big gallery but I particularly enjoyed the Cy Twombley exhibition and the Andy Warhols. The building is well lit and wasn't busy which adds to the experience. Worth a visit if you enjoy modern art. ,40,"Blackrod, United Kingdom",
