date,title,text,rating,visitor_origin,visit
Date of experience: January 2020,Hidden gem of a museum,This museum tucked across the street from several other museums (inlcuding the Alte Pinakothek) has a fabulous collection.  It does beautiful shows in a bright lit space.  Also the coffee/cafe is worth a visit for a quick pck me up and some sweets,50,"Seattle, Washington",
Date of experience: December 2019,great range of modern art and very relaxed atmosphere in December,great pieces including a big modern design area. great modernart too including some greats like warhol.'worth a visit,40,"Orange, Australia",
Date of experience: December 2019,Average exhibition,I visited this Museum during my stay in Munch. I find the exhibition average that has not nothing special to see.,30,"Thessaloniki, Greece",
Date of experience: December 2019,Sunday for a euro every time ,"Great place to visit with large open rooms, with well displayed and appropriate pieces.It was a pleasant couple of hours, even if it was crazy full. Clearly the concept is good and the architecture equivalently suitable. Highly recommended.",40,"Cologne, Germany",Trip type: Traveled as a couple
Date of experience: December 2019,Surprisingly good!,"The building was very attractive, airy, light filled with easy gallery access.  The art was generally quite good, with several top German & foreign artists of the past 100 years represented.  I found it a most enjoyable way to spend a morning,  And it is within short walking distance of the city center.",40,"Washington DC, District of Columbia, USA",
Date of experience: August 2020,Parfois intéressant parfois bof,"Pour les fans d’art moderne, la Pinakothek est un endroit à visiter. Sans prétention, le musée s’allonge vraiment de son côté design moderne avec notamment des tableaux de l’impressionnisme etc... en y allant en après-midi, en ce moment, il n’y aura pas beaucoup de monde. Entre design, architecture, art des objets et tableaux, on s’y perd un peu.J’ai plus trouvé de l’intérêt pour les tableaux que pour la partie architecture ou design.",40,,
Date of experience: August 2020,Verrukkelijk gebouw met prachtige thema’s,"Wat mij betreft is dit een must-see. Prachtig gebouw van de hand van Stephan Braunfels, waar de oriëntatie zó geweldig is, dat je als bezoeker steeds weet, waar je je bevindt. We hebben heerlijk gezworven langs de diverse deel-tentoonstellingen. Verrassend: een hommage van George Baselitz aan Piet Mondriaan ‘Piet in kürzer Hose’ (zie foto), een fraai buro van de hand van Rietveld, nooit eerder gezien. Ook veel aandacht voor schilderkunst in de donkere periode van WO II. Mooie aandacht voor beeldhouwwerk, oa van Archipenko.",50,"Aduard, The Netherlands",Trip type: Traveled as a couple
Date of experience: August 2020,Intéressant ,"Il faut aimer le moderne mais on y trouve des oeuvres très intéressantes sur Picasso, Braque et cie, a voir même si design ne m’a pas intéressé.",40,"Paris, France",Trip type: Traveled as a couple
Date of experience: July 2020,Beeindruckend ,"Mit jedem Besuch entdecken wir neue Dinge, Eindrücke und Elemente die einem völlig neu erscheinen. Die aktuelle Ausstellung Feelings ist jetzt nicht mein Persönliches Ding , aber in jede Fall sehenswert.",50,"Munich, Germany",Trip type: Traveled with friends
Date of experience: December 2019,"Moderne Kunst, Design, Produktdesign im faszinierenden Gebäude.","Sowohl moderne Malerei, als auch Skulpturen sowie Produktdesign von Bauhaus bis Gegenwart in einem faszinierenden Museumsgebäude, was für sich schon ein Kunstwerk ist. Im Foyer schwingt ein lang aufgehängtes Pendel, das an das Faukaulsche Pendel in Paris erinnert. auch die Restauration ist nicht ""von schlechten Eltern"".Fußläufig zum Ägyptischen Museum wird der langweiligste Sonntag Nachmittag mit diesen beiden Museen zum unvergesslichen Erlebnis.",50,"Celle, Germany",
Date of experience: June 2020,Manches etwas provokativ.,"Nettes Museum, vorallem die Bauhaus Ausstellung.  Es gibt ein paar provokative Bilder wie ""Man pissing on Chair"".  (Pfui!)  Und ein Paar highlights wie Andy Warhols Portrait von Joseph Beuys.  Ein bischen mehr Dali und Picasso darf es auch mehr geben und Calder und Moor (meine persönliche Lieblinge) habe ich keins gesehen.",40,"Stuttgart, Germany",
Date of experience: January 2020,おもしろい！,現代美術の展示物がたくさんあり、非常に興味深かったです。いろいろな作家の作品があるので、お気に入りがあるでしょう。,40,,
Date of experience: March 2020,Pinakotheke,"Het gebouw is overweldigend, de kunst gaat van zeer bijzonder naar kunst wat je als gewoon kunt ervaren.",40,"Rotterdam, The Netherlands",Trip type: Traveled with friends
Date of experience: March 2020,Reichhaltige Ausfall moderner Kunst und Produktdesign,"Eine Kunstmuseum auf Weltniveau. Unzählige sehenswerte Themenhäuser, Dauer- und Wechselausstellungen. Dies vielleicht auch der einzige wirkliche Kritikpunkt: Wenn man sich alles ansieht und wieder rausgeht ist man völlig reizüberflutet. Möglicherweise wäre weniger mehr. Zudem fehlten mir bei einigen Exponaten die Erklärung.",40,"Munich, Germany",
Date of experience: January 2020,шикарно!,Коллекция промышленного дизайна - одна из лучших из увиденных. замечательно передает дух времени. как же мы сейчас изменились!,50,"Nazareth, Israel",
Date of experience: January 2020,Sonderausstellung des  'Lichtdesigners Ingo Maurer',Die Sonderausstellung des kürzlich verstorbenen 'Lichtdesigners Ingo Maurer' ist unvorstellbar gut und sollte eigentlich ein 'Muss' für jeden Kunst- und Kulturinteressierten sein ! Schlichtweg sensationell !!,50,"Spaichingen, Germany",
