,country,flux density,latitude,longitude
66,aruba,1.0416666666666667,12.5013629,-69.9618475
61,Uruguay,1.0416666666666667,-32.8755548,-56.0201525
60,United States,1.0416666666666667,39.7837304,-100.4458825
59,United Kingdom,5.208333333333333,54.7023545,-3.2765753
58,United Arab Emirates,2.0833333333333335,24.0002488,53.9994829
57,Turkey,2.0833333333333335,38.9597594,34.9249653
55,Thailand,2.0833333333333335,13.03876215,101.70017611907599
52,Switzerland,4.166666666666667,46.7985624,8.2319736
51,Sweden,1.0416666666666667,59.6749712,14.5208584
49,Spain,8.333333333333334,39.3262345,-4.8380649
47,South Africa,1.0416666666666667,-28.8166236,24.991639
46,Singapore,1.0416666666666667,1.2904753,103.8520359
45,Saudi Arabia,1.0416666666666667,25.6242618,42.3528328
43,Portugal,2.0833333333333335,40.0332629,-7.8896263
38,Norway,1.0416666666666667,64.5731537,11.52803643954819
33,Nepal,1.0416666666666667,28.1083929,84.0917139
30,Mexico,1.0416666666666667,19.4326296,-99.1331785
29,Mauritius,1.0416666666666667,-20.2759451,57.5703566
27,Malta,2.0833333333333335,35.8885993,14.4476911
26,Malaysia,3.125,4.5693754,102.2656823
24,Kuwait,1.0416666666666667,29.2733964,47.4979476
23,Japan,4.166666666666667,36.5748441,139.2394179
22,Italy,10.416666666666666,42.6384261,12.674297
20,Israel,1.0416666666666667,31.5313113,34.8667654
18,India,1.0416666666666667,22.3511148,78.6677428
16,Iceland,1.0416666666666667,64.9841821,-18.1059013
15,Hungary,1.0416666666666667,47.1817585,19.5060937
14,Greece,4.166666666666667,38.9953683,21.9877132
13,Germany,10.416666666666666,51.0834196,10.4234469
12,France,10.416666666666666,46.603354,1.8883335
10,Denmark,2.0833333333333335,55.670249,10.3333283
7,China,1.0416666666666667,35.000074,104.999927
6,Canada,1.0416666666666667,61.0666922,-107.9917071
4,Bulgaria,1.0416666666666667,42.6073975,25.4856617
3,Austria,2.0833333333333335,47.2000338,13.199959
2,Australia,4.166666666666667,-24.7761086,134.755
0,Argentina,1.0416666666666667,-34.9964963,-64.9672817
