date,title,text,rating,visitor_origin,visit
Date of experience: August 2020,Aimed at Germans almost exclusively. ,A few good things to see but most is only in German so if you don’t read German expect to miss most of the detail and feel short changed. Better things to see,30,"Huddersfield, United Kingdom",
Date of experience: December 2019,Interesting & Entertaining,"We visited the museum after spending time at Nymphenburg Palace, as the museum is next door. As it's been previously mentioned, the information is all written in German. I have a rudimentary understanding of German and this was a wonderful experience of testing my German skills.",50,,
Date of experience: December 2018,To visit,"Fascinating. Illuminating. And interestingly presented (please note, much of the info is only in German). Bring lots of time and curiosity. Or even better: plan multiple trips to enjoy the various sections, each of which would be worth a trip of its own.",50,"Bucharest, Romania",
Date of experience: November 2018,Entertaining museum ,"Lots to learn about nature and people. Not expensive:,3.5€ per person. It took me 1.5 hours to go thru the different rooms but I must say I did not read everything because all is in German, my German is not good, there is no translation in any other language unfortunately. ",40,"Munich, Germany",
Date of experience: April 2018,Only in german but still interesting,We were here for one hour even tho we didn't really understand anything :). All the texts are in german but it is still interesting to look at the pictures and stuffed animals. I would give this place a full score but because of the language issue I give only three points. On,30,"Espoo, Finland",
Date of experience: March 2018,Zeitverlust,"I do not recommend it. Everything ist extremly old and not hygienic (100 old telephone receivers to hear anything). On the one hand it is more for children - really basic information, but on the other hand the language is so complicated that the adults may have some problems. In",10,"Gliwice, Poland",
Date of experience: January 2018,"Very nice museum, especially for kids","This is a great and well done museum about the history of our planet and humanity. Exhibits are awesome, great illustration, lots of interactive stuff. Really great for children from 6 up, probably too complicated for the smaller ones. Takes around an hour to 1.5 hours to do all",50,"Sydney, Australia",
Date of experience: September 2017,Worth its money and more!,"A week before visiting this place we were at the Deutsche Museum. And while these two museums are a bit different in a size and content, they're somewhat similar as well. And I should say I liked this one much more. One small details that justifies most of the things is its",50,"Vancouver, Canada",
Date of experience: March 2017,No English at all -   so don't waste your kid s time to go,"We travelled 45 mins by tram, finally found the museum with my 13years old boy. However,  there is no any English sign through out the museum even with lots of lively models, there is no way my son can be interested in them. And the Cafe on the ground floor was a mess, no seats,",10,"London, United Kingdom",
Date of experience: March 2017,"Location for special exhihbition ""Wildlife Photographer of the Year 2017""","We visited the speical exhibition ""Wildlife Photographer of the Year 2017"" in the beautiful museum as part of the Nymphenburg Palace. Very impressed...",50,"Munich, Germany",
Date of experience: March 2017,All in German...,"Good exhibits with lots of information (almost all in German, though!) The animals section has some fun quizzes that I enjoyed playing with my daughter!",40,"Lisbon, Portugal",
Date of experience: February 2017,Cool place but..,"Very nice museum, but if you do not speak german i would not recommend going there. It ended up for us just to see pictures and stuffed animals and could not understand any information written",30,,
Date of experience: February 2017,You can't be too old to enjoy science,Sunday afternoon crowded by families with little children. I thought it would be enough to see the Wildlife Photographer exhibition. I couldn't stop and discovered the stunning collection eyes and mouth wide open. All by myself! Just awesome!!,50,.,
Date of experience: August 2016,A nice surprise,"We wandered in the museum by accident and we loved it. It's packed with interactive stuff and therefore a lot of fun, especially for kids. I think it was only partly in English, but still well worth a visit. Very cheap for Munich standards. ",40,"Warsaw, Poland",
Date of experience: January 2016,Great Museum for Kids,We had a great half day with our two kids (4 and 8). Lots to try and to explore. quizzes for kids and very interactive Museum. ,50,"Bali, Indonesia",
Date of experience: July 2014,Nice Museum!!,Nice exhibitions. I would've loved some more interactive science activities though. The stone/rock collection is really beautiful.,40,"Munich, Germany",
,Best museum I've seen for a while,"was there with the kids and must say that found it hard not to get absorbed myself by this wonderful museum. Lots to see, very nicely kept and has a great café inside. Would definitely recommend even if not a German speaker as there is a lot to see anyways.",50,"Munich, Germany",
Date of experience: October 2014,Educational for kids and adults,In one of the wings of the Nymphenburger Schloss there is this science and nature museum. Great for kids aged 5+. Please ensure to have someone with you speaking German. After the visit go for a stroll in the castle gardens or visit the castle itself. ,40,"Lausanne, Switzerland",
,Great museum,I was very surprised to pay just 1 euro entrance fee for me and one child as everything else is quite expensive in Munich. Therefore this would be the first plus point for this museum.  It us well organized and has a great mixture between exibits and the video and audio support.,40,"Munich, Germany",
Date of experience: December 2013,Surprising and interesting,"We didn't plan the visit, but we were at Nymphenburg Palace and we saw the museum on our way to the car. The fee was very cheap( I guess 2 EUR because it was Sunday). Unforyunately, the comments are in German, but we did recieve a map in English. If you know German, this museum",40,"Regensburg, Germany",
Date of experience: November 2012,AWESOME,"I'm 14 and I was there when I was 10. It was a great experience, fee is low, museum is awesome!!!!! It is interesting and it brings good memories and you actually learn a lot from it, I'd definitely reccomend it to anyone <3",50,"Split, Splitsko-Dalmatinska, Croatia",
Date of experience: January 2013,Go here with kids only,"I live in Munich. we go here at least once a year.  You visit Castle ""Scloss"" Nymphenburg and have Kids? After or before you finished looking at it go to the Museum Mensch und Natur.  It is in a side part of the Castle, only approx 100 Meters from the main entrance. Your Child",50,"Munich, Germany",
Date of experience: August 2012,Great museum... If you know German,"This looked like a really interesting museum that would be great for kids. There were exhibits about geology, the history of the earth, evolution, and modern genetics. And they clearly went to great pains to make it a place where kids could learn things without getting bored",30,"Carrboro, North Carolina",
Date of experience: August 2011,Great,"Go see this it gives you a real feel of Bavarian history and culture, and culture and history is what Germany is about",50,"Sydney, Australia",
